No,DocId,key-phrases
1,10,"['urban ecological management', 'urban landscape pattern', 'urban landscape', 'urbanization index', 'urbanization impact']"
2,34,"['expert system prototype', 'robotic system', 'expert system', 'artificial intelligence technology', 'AI technology']"
3,44,"['smart city', 'collaborative urban governance', 'urban governance', 'governance intelligence', 'urban governance issue']"
4,46,"['health hazard forecasting', 'smog severity observation', 'smog disaster', 'smog observation', 'smog severity']"
5,85,"['GIS hotspot analysis', 'travel carbon emission', 'urban planning', 'carbon emission assessment', 'hotspot analysis']"
6,88,"['understanding city', 'urban analytics', 'urban system', 'deep computer vision', 'deep computer']"
7,129,"['perceives AI technology', 'AI application area', 'intelligence technology', 'related urban planning', 'popular AI technology']"
8,132,"['semantic address matching', 'address matching', 'address match', 'unstructured address data', 'unstructured address record']"
9,134,"['open urban data', 'urban data', 'visualization technique', 'urban data set', 'visualization']"
10,165,"['Iran arid area', 'aridity index', 'compatible aridity index', 'Iq aridity index', 'aridity trend']"
11,174,"['urban functional zone', 'zone classification approach', 'functional zone classification', 'XGBoost classification', 'zone classification']"
12,184,"['area intelligent classification', 'urban area', 'intelligent classification', 'multiple classifier', 'automatic classification']"
13,187,"['government knowledge graph', 'kadaster knowledge graph', 'knowledge graph', 'open data', 'open government knowledge']"
14,189,"['transportation mode classification', 'mode classification method', 'mode classification', 'different transportation mode', 'transportation mode']"
15,194,"['sidewalk design', 'street view image', 'random forest', 'street view', 'urban environment']"
16,207,"['intelligent transportation system', 'intelligent transportation', 'fuzzy reasoning', 'fuzzy logic', 'fuzzy reasoning scheme']"
17,217,"['scene classification', 'semantic image classification', 'image classification', 'semantic image', 'urban scene']"
18,234,"['urban development pattern', 'urban development', 'urbanization process', 'landscape metric model', 'geography']"
19,250,"['smart city lie', 'big data analysis', 'civic query data', 'big data', 'civic participation platform']"
20,259,"['urban design plan', 'urban design task', 'urban design', 'automatic design', 'inspires urban designer']"
21,263,"['slum area', 'slum', 'poverty rate', 'monetary poverty', 'poverty']"
22,266,"['structural health monitoring', 'health monitoring installation', 'structural health', 'health monitoring', 'Health Monitoring utility']"
23,272,"['wearable fall detection', 'fall detection', 'human fall detection', 'fall detection system', 'automatic wearable fall']"
24,285,"['swarm intelligence', 'unmanned aerial vehicle', 'dynamic flight plan', 'harmonious smart ecosystem', 'smart ecosystem']"
25,314,"['urban visual environment', 'advertising construction', 'detected advertising object', 'outdoor advertising', 'advertising object']"
26,320,"['complex planning', 'epistemological quadriptych', 'complex planning process', 'UAVs device', 'military operation']"
27,338,"['sustainable urban transition', 'urban regeneration', 'urban development model', 'urban transition', 'former industrial waterfront']"
28,342,"['urban functional area', 'unplanned urban expansion', 'global urbanization', 'machine learning', 'urban expansion']"
29,345,"['urban greenness space', 'urban greenness coverage', 'urban greenness', 'typical landscape index', 'greenness space']"
30,363,"['French neighbourhood', 'neighbourhood', 'neighborhood', 'real estate search', 'spatial concept']"
31,383,"['scenic beauty', 'aesthetic rating', 'social metadata', 'Paris dataset', 'Flickr image']"
32,384,"['geographical insight', 'query engine', 'planning domain', 'natural language', 'deep learning']"
33,391,"['artificial neural network', 'neural network algorithm', 'architectural design', 'artificial network', 'neural network']"
34,394,"['road traffic noise', 'traffic noise', 'urban road traffic', 'machine learning method', 'noise level']"
35,400,"['travel mode detection', 'classification algorithm', 'various classification algorithm', 'different classification algorithm', 'decision tree']"
36,403,"['terrorist attack prediction', 'attack prediction system', 'attack prediction', 'reasoning layer', 'terroristic attack']"
37,412,"['generative architectural', 'generated design data', 'generated design', 'urban design method', 'architectural form']"
38,415,"['pollution quality prediction', 'smart city development', 'air pollution measurement', 'influence air pollution', 'air pollution quality']"
39,426,"['urban system management', 'effective urban system', 'neural network model', 'Social medium user', 'network model']"
40,434,"['complex urban area', 'collision avoidance', 'neural network learns', 'exploration strategy', 'map']"
41,435,"['vegetation barrier design', 'roadside vegetation barrier', 'roadside vegetation', 'roadside green infrastructure', 'vegetation design']"
42,438,"['urban poverty', 'housing inequality', 'housing affordability', 'satellite imagery', 'poverty level']"
43,441,"['real estate market', 'market spatial dynamic', 'rental housing market', 'housing market', 'spatial dynamic model']"
44,463,"['sustainable urban planning', 'urban development classification', 'urban planning machine', 'new urban development', 'urban planner assess']"
45,472,"['urban land use', 'essential urban land', 'land use information', 'urban land', 'geospatial big data']"
46,480,"['sustainable urban development', 'urban data operationalization', 'urban layout', 'urban form', 'participatory planning']"
47,487,"['visual Analytics', 'Analytics', 'Crime Detection', 'intelligent', 'recognition']"
48,503,"['perennial drainage', 'hydrologic risk', 'drainage network', 'surface water runoff', 'floodplain']"
49,516,"['intelligent unmanned technology', 'unmanned technology', 'aerial vehicle', 'environmental monitoring', 'environmental monitoring task']"
50,519,"['digital society', 'democracy', 'representative democracy', 'digital revolution', 'digital social contract']"
51,536,"['street context classification', 'convolutional neural network', 'street imagery', 'relabel street', 'CNN architecture']"
52,551,"['land use analysis', 'city planning', 'land use', 'urban space', 'land']"
53,552,"['deep reinforcement', 'deep reinforcement learning', 'urban warfare operation', 'AI system', 'reinforcement learning']"
54,573,"['imbalanced datasets', 'distance metric learning', 'metric learning', 'biomedical data analysis', 'biomedical data']"
55,580,"['land cover classification', 'agricultural land cover', 'land cover', 'land surface temperature', 'land cover type']"
56,585,"['data mining', 'intelligent urban data', 'data exploration', 'cluster analysis', 'urban data monitoring']"
57,595,"['urban territorial planning', 'metropolitan land use', 'territorial planning process', 'territorial planning', 'land use evolution']"
