cluster,min_cluster_size,min_samples,epsilon,total_groups,outlier_count,outlier_key_phrase,group_0_count,group_0_key_phrase,group_1_count,group_1_key_phrase
#0,5,None,0.0,3,24,"flooding prediction, flood hazard determination, pluvial flooding prediction, rockfall hazard assessment, support vector machine, comprehensive rockfall hazard, urban pluvial flooding, landslide data, rockfall hazard, SVMs algorithm, support vector, flood occurrence, SVMs model, wildfire burnt area, rockfall kinematic model, rockfall probability, location problem model, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",13.0,"flood risk mapping, flood risk map, urban flood susceptibility, urban flood risk, flood vulnerability map, flood susceptibility mapping, flood susceptibility map, urban pluvial flood, flood susceptibility, realistic flood susceptibility, pluvial flood event, pluvial flood vulnerability, flood vulnerability",18.0,"landslide susceptibility mapping, landslide susceptibility model, landslide susceptibility assessment, landslide susceptibility prediction, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, landslide susceptibility map, landslide susceptibility modeling, landslide risk management, landslide susceptibility simulation, landslide susceptibility, potential landslide runout, potential landslide, landslide risk, high landslide risk, landslide susceptibility zone, landslide prevention"
#0,5,1,0.0,2,0,,49.0,"flooding prediction, flood risk mapping, landslide susceptibility mapping, flood hazard determination, landslide susceptibility model, pluvial flooding prediction, landslide susceptibility assessment, landslide susceptibility prediction, flood risk map, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, rockfall hazard assessment, landslide susceptibility map, urban flood susceptibility, landslide susceptibility modeling, urban flood risk, landslide risk management, landslide susceptibility simulation, flood vulnerability map, landslide susceptibility, potential landslide runout, flood susceptibility mapping, comprehensive rockfall hazard, flood susceptibility map, potential landslide, urban pluvial flooding, landslide risk, landslide data, high landslide risk, landslide susceptibility zone, landslide prevention, urban pluvial flood, rockfall hazard, flood susceptibility, realistic flood susceptibility, flood occurrence, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, flood vulnerability, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",6.0,"support vector machine, SVMs algorithm, support vector, SVMs model, location problem model, location allocation model"
#0,5,2,0.0,2,0,,49.0,"flooding prediction, flood risk mapping, landslide susceptibility mapping, flood hazard determination, landslide susceptibility model, pluvial flooding prediction, landslide susceptibility assessment, landslide susceptibility prediction, flood risk map, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, rockfall hazard assessment, landslide susceptibility map, urban flood susceptibility, landslide susceptibility modeling, urban flood risk, landslide risk management, landslide susceptibility simulation, flood vulnerability map, landslide susceptibility, potential landslide runout, flood susceptibility mapping, comprehensive rockfall hazard, flood susceptibility map, potential landslide, urban pluvial flooding, landslide risk, landslide data, high landslide risk, landslide susceptibility zone, landslide prevention, urban pluvial flood, rockfall hazard, flood susceptibility, realistic flood susceptibility, flood occurrence, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, flood vulnerability, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",6.0,"support vector machine, SVMs algorithm, support vector, SVMs model, location problem model, location allocation model"
#0,5,3,0.0,2,0,,50.0,"flooding prediction, flood risk mapping, landslide susceptibility mapping, flood hazard determination, landslide susceptibility model, pluvial flooding prediction, landslide susceptibility assessment, landslide susceptibility prediction, flood risk map, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, rockfall hazard assessment, landslide susceptibility map, urban flood susceptibility, landslide susceptibility modeling, urban flood risk, landslide risk management, landslide susceptibility simulation, flood vulnerability map, landslide susceptibility, potential landslide runout, flood susceptibility mapping, comprehensive rockfall hazard, flood susceptibility map, potential landslide, urban pluvial flooding, landslide risk, landslide data, high landslide risk, landslide susceptibility zone, landslide prevention, urban pluvial flood, rockfall hazard, flood susceptibility, realistic flood susceptibility, flood occurrence, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, flood vulnerability, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",5.0,"support vector machine, SVMs algorithm, support vector, SVMs model, location problem model"
#0,5,4,0.0,3,18,"flooding prediction, flood hazard determination, rockfall hazard assessment, support vector machine, comprehensive rockfall hazard, landslide data, rockfall hazard, SVMs algorithm, support vector, SVMs model, wildfire burnt area, rockfall kinematic model, rockfall probability, location problem model, location allocation model, landslide inventory, burnt catchment, frequent natural disaster",16.0,"flood risk mapping, pluvial flooding prediction, flood risk map, urban flood susceptibility, urban flood risk, flood vulnerability map, flood susceptibility mapping, flood susceptibility map, urban pluvial flooding, urban pluvial flood, flood susceptibility, realistic flood susceptibility, flood occurrence, pluvial flood event, pluvial flood vulnerability, flood vulnerability",21.0,"landslide susceptibility mapping, landslide susceptibility model, landslide susceptibility assessment, landslide susceptibility prediction, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, landslide susceptibility map, landslide susceptibility modeling, landslide risk management, landslide susceptibility simulation, landslide susceptibility, potential landslide runout, potential landslide, landslide risk, high landslide risk, landslide susceptibility zone, landslide prevention, landslide worldwide, landslide, historical landslide"
#0,5,5,0.0,3,24,"flooding prediction, flood hazard determination, pluvial flooding prediction, rockfall hazard assessment, support vector machine, comprehensive rockfall hazard, urban pluvial flooding, landslide data, rockfall hazard, SVMs algorithm, support vector, flood occurrence, SVMs model, wildfire burnt area, rockfall kinematic model, rockfall probability, location problem model, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",13.0,"flood risk mapping, flood risk map, urban flood susceptibility, urban flood risk, flood vulnerability map, flood susceptibility mapping, flood susceptibility map, urban pluvial flood, flood susceptibility, realistic flood susceptibility, pluvial flood event, pluvial flood vulnerability, flood vulnerability",18.0,"landslide susceptibility mapping, landslide susceptibility model, landslide susceptibility assessment, landslide susceptibility prediction, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, landslide susceptibility map, landslide susceptibility modeling, landslide risk management, landslide susceptibility simulation, landslide susceptibility, potential landslide runout, potential landslide, landslide risk, high landslide risk, landslide susceptibility zone, landslide prevention"
#0,5,6,0.0,3,29,"flooding prediction, flood hazard determination, pluvial flooding prediction, rockfall hazard assessment, urban flood susceptibility, urban flood risk, support vector machine, comprehensive rockfall hazard, urban pluvial flooding, landslide data, urban pluvial flood, rockfall hazard, SVMs algorithm, support vector, flood occurrence, SVMs model, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, location problem model, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",8.0,"flood risk mapping, flood risk map, flood vulnerability map, flood susceptibility mapping, flood susceptibility map, flood susceptibility, realistic flood susceptibility, flood vulnerability",18.0,"landslide susceptibility mapping, landslide susceptibility model, landslide susceptibility assessment, landslide susceptibility prediction, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, landslide susceptibility map, landslide susceptibility modeling, landslide risk management, landslide susceptibility simulation, landslide susceptibility, potential landslide runout, potential landslide, landslide risk, high landslide risk, landslide susceptibility zone, landslide prevention"
#0,5,7,0.0,1,55,"flooding prediction, flood risk mapping, landslide susceptibility mapping, flood hazard determination, landslide susceptibility model, pluvial flooding prediction, landslide susceptibility assessment, landslide susceptibility prediction, flood risk map, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, rockfall hazard assessment, landslide susceptibility map, urban flood susceptibility, landslide susceptibility modeling, urban flood risk, landslide risk management, landslide susceptibility simulation, flood vulnerability map, landslide susceptibility, support vector machine, potential landslide runout, flood susceptibility mapping, comprehensive rockfall hazard, flood susceptibility map, potential landslide, urban pluvial flooding, landslide risk, landslide data, high landslide risk, landslide susceptibility zone, landslide prevention, urban pluvial flood, rockfall hazard, SVMs algorithm, flood susceptibility, realistic flood susceptibility, support vector, flood occurrence, SVMs model, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, location problem model, flood vulnerability, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",,,,
#0,5,8,0.0,1,55,"flooding prediction, flood risk mapping, landslide susceptibility mapping, flood hazard determination, landslide susceptibility model, pluvial flooding prediction, landslide susceptibility assessment, landslide susceptibility prediction, flood risk map, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, rockfall hazard assessment, landslide susceptibility map, urban flood susceptibility, landslide susceptibility modeling, urban flood risk, landslide risk management, landslide susceptibility simulation, flood vulnerability map, landslide susceptibility, support vector machine, potential landslide runout, flood susceptibility mapping, comprehensive rockfall hazard, flood susceptibility map, potential landslide, urban pluvial flooding, landslide risk, landslide data, high landslide risk, landslide susceptibility zone, landslide prevention, urban pluvial flood, rockfall hazard, SVMs algorithm, flood susceptibility, realistic flood susceptibility, support vector, flood occurrence, SVMs model, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, location problem model, flood vulnerability, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",,,,
#0,5,9,0.0,1,55,"flooding prediction, flood risk mapping, landslide susceptibility mapping, flood hazard determination, landslide susceptibility model, pluvial flooding prediction, landslide susceptibility assessment, landslide susceptibility prediction, flood risk map, landslide susceptibility evaluation, landslide hazard, shallow landslide susceptibility, rockfall hazard assessment, landslide susceptibility map, urban flood susceptibility, landslide susceptibility modeling, urban flood risk, landslide risk management, landslide susceptibility simulation, flood vulnerability map, landslide susceptibility, support vector machine, potential landslide runout, flood susceptibility mapping, comprehensive rockfall hazard, flood susceptibility map, potential landslide, urban pluvial flooding, landslide risk, landslide data, high landslide risk, landslide susceptibility zone, landslide prevention, urban pluvial flood, rockfall hazard, SVMs algorithm, flood susceptibility, realistic flood susceptibility, support vector, flood occurrence, SVMs model, pluvial flood event, wildfire burnt area, rockfall kinematic model, rockfall probability, pluvial flood vulnerability, location problem model, flood vulnerability, location allocation model, landslide worldwide, landslide inventory, burnt catchment, landslide, frequent natural disaster, historical landslide",,,,
