cluster,min_samples,min_cluster_size,epsilon,total_groups,outlier_count,outlier_key_phrase,group_0_count,group_0_key_phrase,group_1_count,group_1_key_phrase,group_2_count,group_2_key_phrase,group_3_count,group_3_key_phrase,group_4_count,group_4_key_phrase,group_5_count,group_5_key_phrase,group_6_count,group_6_key_phrase,group_7_count,group_7_key_phrase,group_8_count,group_8_key_phrase,group_9_count,group_9_key_phrase
#2,None,5,0.0,7,99,"crowd density estimation, crowd density, traffic volume estimation, traffic accident prediction, transportation impact, transportation infrastructure development, state transportation planning, transportation mode recognition, transportation efficiency, road traffic image, urban computing, traffic sensor data, large urban police, traffic simulation, bus dynamic routing, next destination prediction, urban emergency police, smart mobility, traffic simulation technology, urban freight transportation, traffic profiling, urban area smart, crowd surveillance, traffic image, accident prediction, urban police, data mining technique, big geodata analysis, urban logistics system, urban event cause, smart city, next destination predictor, trajectory clustering, extreme learning machine, human mobility dataset, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, LSTM model, destination predictor, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, big geodata, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, city operation system, CNN model, emergency police operation, city operation, urban planning, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, friendly urban freight, image descriptor, urban safety, urban event, genetic algorithm, density estimation, mobility dataset, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, crowd, crosstown traffic, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, enhanced urban clustering, deep reinforcement, spatial temporal coverage, urban clustering, flow prediction, biased data, heterogeneous datasets, urban data, intelligent transportation system, principal component analysis, online machine learning, clustering protocol, available clustering protocol, image processing",9.0,"automobile choice, household automobile choice, vehicle choice problem, household vehicle choice, vehicle choice, vehicle ownership, vehicle, car, vehicle selection algorithm",8.0,"deep learning car, machine learning method, Deep Model, machine learning, deep learning model, prediction methodology, deep learning method, deep learning",10.0,"taxi demand, exploratory taxi fleet, city taxi service, exploratory taxi, city taxi, electric taxi, traditional taxi, taxi, taxi fleet, taxicab",13.0,"bus route planning, transportation planning, transportation data management, transportation data, transportation network data, transportation route planning, bus trajectory data, bus route, public transportation route, dynamic route planning, mobility data, route planning, travel survey data",14.0,"citywide Traffic Volume, traffic monitoring, citywide traffic, traffic congestion detection, urban road traffic, intelligent traffic management, urban traffic flow, urban traffic, road traffic management, adaptive traffic control, traffic management system, urban traffic management, traffic management, traffic flow",12.0,"traffic volume prediction, traffic flow forecasting, traffic prediction, destination prediction, traffic flow prediction, road traffic prediction, travel demand prediction, traffic forecast feature, traffic forecast, Traffic Volume, traffic forecasting, time traffic forecast",,,,,,,,
#2,None,6,0.0,7,104,"crowd density estimation, crowd density, traffic volume estimation, traffic accident prediction, transportation impact, transportation infrastructure development, state transportation planning, transportation mode recognition, destination prediction, transportation efficiency, road traffic image, urban computing, traffic sensor data, large urban police, traffic simulation, bus dynamic routing, next destination prediction, urban emergency police, smart mobility, traffic simulation technology, traffic profiling, traffic congestion detection, urban area smart, crowd surveillance, Traffic Volume, traffic image, accident prediction, urban police, data mining technique, big geodata analysis, urban event cause, smart city, bus route, next destination predictor, trajectory clustering, extreme learning machine, human mobility dataset, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, LSTM model, destination predictor, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, big geodata, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, friendly urban freight, image descriptor, urban safety, urban event, genetic algorithm, density estimation, mobility dataset, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, crowd, crosstown traffic, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, deep reinforcement, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, principal component analysis, online machine learning, clustering protocol, available clustering protocol, image processing",8.0,"automobile choice, household automobile choice, vehicle choice problem, household vehicle choice, vehicle choice, vehicle ownership, vehicle, car",7.0,"deep learning car, machine learning method, Deep Model, deep learning model, prediction methodology, deep learning method, deep learning",13.0,"bus route planning, transportation planning, transportation data management, transportation data, transportation network data, transportation route planning, urban freight transportation, urban logistics system, bus trajectory data, public transportation route, dynamic route planning, mobility data, route planning",10.0,"taxi demand, exploratory taxi fleet, city taxi service, exploratory taxi, city taxi, electric taxi, traditional taxi, taxi, taxi fleet, taxicab",13.0,"citywide Traffic Volume, traffic monitoring, citywide traffic, urban road traffic, intelligent traffic management, urban traffic flow, urban traffic, road traffic management, adaptive traffic control, traffic management system, urban traffic management, traffic management, traffic flow",10.0,"traffic volume prediction, traffic flow forecasting, traffic prediction, traffic flow prediction, road traffic prediction, travel demand prediction, traffic forecast feature, traffic forecast, traffic forecasting, time traffic forecast",,,,,,,,
#2,None,7,0.0,3,69,"crowd density, transportation impact, transportation mode recognition, transportation efficiency, urban emergency police, smart mobility, urban area smart, accident prediction, data mining technique, big geodata analysis, urban event cause, smart city, deep learning car, next destination predictor, trajectory clustering, extreme learning machine, human mobility dataset, urban police jurisdiction, learning car detection, passenger service market, LSTM model, destination predictor, machine learning method, Deep Model, unsupervised incremental learning, travel demand model, big geodata, mobile crowdsensing, crowd analysis benchmark, citywide traffic accident, machine learning, CNN model, emergency police operation, deep learning model, urban freight, data mining, autoencoders, friendly urban freight, image descriptor, urban event, genetic algorithm, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, deep sequence, vanilla LSTM model, predictive accuracy, event data, LSTM network, event impact, enhanced urban clustering, deep reinforcement, spatial temporal coverage, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, principal component analysis, online machine learning, clustering protocol, available clustering protocol, image processing",88.0,"crowd density estimation, traffic volume prediction, traffic volume estimation, traffic flow forecasting, bus route planning, traffic prediction, taxi demand, traffic accident prediction, citywide Traffic Volume, transportation infrastructure development, state transportation planning, exploratory taxi fleet, destination prediction, traffic flow prediction, transportation planning, road traffic prediction, transportation data management, road traffic image, urban computing, travel demand prediction, transportation data, city taxi service, traffic sensor data, large urban police, traffic simulation, traffic forecast feature, bus dynamic routing, traffic monitoring, transportation network data, next destination prediction, exploratory taxi, traffic simulation technology, traffic forecast, citywide traffic, transportation route planning, urban freight transportation, traffic profiling, traffic congestion detection, city taxi, crowd surveillance, Traffic Volume, traffic image, urban police, traffic forecasting, urban road traffic, urban logistics system, bus trajectory data, electric taxi, bus route, public transportation route, time traffic forecast, traditional taxi, dynamic route planning, taxi, mobility data, traffic monitoring device, urban prediction, freight transportation system, intelligent traffic management, urban traffic flow, crowd analysis, flow forecasting, trajectory dataset, urban traffic, route planning, road traffic management, urban prediction problem, city operation system, city operation, urban planning, transportation mode information, transportation congestion, adaptive traffic control, urban safety, traffic management system, traffic speed, crosstown traffic, highway traffic volume, urban data collection, travel survey data, urban traffic management, traffic management, taxi fleet, urban clustering, urban data, intelligent transportation system, taxicab, traffic flow",8.0,"automobile choice, household automobile choice, vehicle choice problem, household vehicle choice, vehicle choice, vehicle ownership, vehicle, car",,,,,,,,,,,,,,,,
#2,None,8,0.0,3,124,"crowd density estimation, crowd density, bus route planning, transportation impact, transportation infrastructure development, state transportation planning, transportation mode recognition, automobile choice, household automobile choice, transportation planning, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, transportation data, traffic sensor data, large urban police, bus dynamic routing, transportation network data, next destination prediction, urban emergency police, smart mobility, household vehicle choice, transportation route planning, urban freight transportation, traffic profiling, urban area smart, crowd surveillance, traffic image, accident prediction, urban police, data mining technique, vehicle choice, big geodata analysis, urban logistics system, bus trajectory data, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, LSTM model, destination predictor, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, route planning, big geodata, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, deep reinforcement, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, principal component analysis, online machine learning, clustering protocol, available clustering protocol, image processing",31.0,"traffic volume prediction, traffic volume estimation, traffic flow forecasting, traffic prediction, traffic accident prediction, citywide Traffic Volume, destination prediction, traffic flow prediction, road traffic prediction, travel demand prediction, traffic simulation, traffic forecast feature, traffic monitoring, traffic simulation technology, traffic forecast, citywide traffic, traffic congestion detection, Traffic Volume, traffic forecasting, urban road traffic, time traffic forecast, intelligent traffic management, urban traffic flow, urban traffic, road traffic management, transportation congestion, traffic management system, traffic speed, urban traffic management, traffic management, traffic flow",10.0,"taxi demand, exploratory taxi fleet, city taxi service, exploratory taxi, city taxi, electric taxi, traditional taxi, taxi, taxi fleet, taxicab",,,,,,,,,,,,,,,,
#2,None,9,0.0,3,127,"crowd density estimation, crowd density, bus route planning, traffic accident prediction, transportation impact, transportation infrastructure development, state transportation planning, transportation mode recognition, destination prediction, automobile choice, household automobile choice, transportation planning, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, transportation data, traffic sensor data, large urban police, bus dynamic routing, transportation network data, next destination prediction, urban emergency police, smart mobility, traffic simulation technology, household vehicle choice, transportation route planning, urban freight transportation, traffic profiling, urban area smart, crowd surveillance, traffic image, accident prediction, urban police, data mining technique, vehicle choice, big geodata analysis, urban logistics system, bus trajectory data, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, LSTM model, destination predictor, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, route planning, big geodata, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, deep reinforcement, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, principal component analysis, online machine learning, clustering protocol, available clustering protocol, image processing",28.0,"traffic volume prediction, traffic volume estimation, traffic flow forecasting, traffic prediction, citywide Traffic Volume, traffic flow prediction, road traffic prediction, travel demand prediction, traffic simulation, traffic forecast feature, traffic monitoring, traffic forecast, citywide traffic, traffic congestion detection, Traffic Volume, traffic forecasting, urban road traffic, time traffic forecast, intelligent traffic management, urban traffic flow, urban traffic, road traffic management, transportation congestion, traffic management system, traffic speed, urban traffic management, traffic management, traffic flow",10.0,"taxi demand, exploratory taxi fleet, city taxi service, exploratory taxi, city taxi, electric taxi, traditional taxi, taxi, taxi fleet, taxicab",,,,,,,,,,,,,,,,
#2,None,10,0.0,1,165,"crowd density estimation, traffic volume prediction, crowd density, traffic volume estimation, traffic flow forecasting, bus route planning, traffic prediction, taxi demand, traffic accident prediction, transportation impact, citywide Traffic Volume, transportation infrastructure development, state transportation planning, transportation mode recognition, exploratory taxi fleet, destination prediction, automobile choice, household automobile choice, traffic flow prediction, transportation planning, road traffic prediction, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, travel demand prediction, transportation data, city taxi service, traffic sensor data, large urban police, traffic simulation, traffic forecast feature, bus dynamic routing, traffic monitoring, transportation network data, next destination prediction, urban emergency police, smart mobility, exploratory taxi, traffic simulation technology, traffic forecast, household vehicle choice, citywide traffic, transportation route planning, urban freight transportation, traffic profiling, traffic congestion detection, city taxi, urban area smart, crowd surveillance, Traffic Volume, traffic image, accident prediction, urban police, data mining technique, traffic forecasting, vehicle choice, big geodata analysis, urban road traffic, urban logistics system, bus trajectory data, electric taxi, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, time traffic forecast, traditional taxi, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, taxi, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, intelligent traffic management, LSTM model, destination predictor, urban traffic flow, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, urban traffic, route planning, big geodata, road traffic management, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, traffic management system, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, urban traffic management, traffic management, deep reinforcement, taxi fleet, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, taxicab, principal component analysis, traffic flow, online machine learning, clustering protocol, available clustering protocol, image processing",,,,,,,,,,,,,,,,,,,,
#2,None,11,0.0,1,165,"crowd density estimation, traffic volume prediction, crowd density, traffic volume estimation, traffic flow forecasting, bus route planning, traffic prediction, taxi demand, traffic accident prediction, transportation impact, citywide Traffic Volume, transportation infrastructure development, state transportation planning, transportation mode recognition, exploratory taxi fleet, destination prediction, automobile choice, household automobile choice, traffic flow prediction, transportation planning, road traffic prediction, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, travel demand prediction, transportation data, city taxi service, traffic sensor data, large urban police, traffic simulation, traffic forecast feature, bus dynamic routing, traffic monitoring, transportation network data, next destination prediction, urban emergency police, smart mobility, exploratory taxi, traffic simulation technology, traffic forecast, household vehicle choice, citywide traffic, transportation route planning, urban freight transportation, traffic profiling, traffic congestion detection, city taxi, urban area smart, crowd surveillance, Traffic Volume, traffic image, accident prediction, urban police, data mining technique, traffic forecasting, vehicle choice, big geodata analysis, urban road traffic, urban logistics system, bus trajectory data, electric taxi, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, time traffic forecast, traditional taxi, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, taxi, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, intelligent traffic management, LSTM model, destination predictor, urban traffic flow, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, urban traffic, route planning, big geodata, road traffic management, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, traffic management system, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, urban traffic management, traffic management, deep reinforcement, taxi fleet, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, taxicab, principal component analysis, traffic flow, online machine learning, clustering protocol, available clustering protocol, image processing",,,,,,,,,,,,,,,,,,,,
#2,None,12,0.0,1,165,"crowd density estimation, traffic volume prediction, crowd density, traffic volume estimation, traffic flow forecasting, bus route planning, traffic prediction, taxi demand, traffic accident prediction, transportation impact, citywide Traffic Volume, transportation infrastructure development, state transportation planning, transportation mode recognition, exploratory taxi fleet, destination prediction, automobile choice, household automobile choice, traffic flow prediction, transportation planning, road traffic prediction, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, travel demand prediction, transportation data, city taxi service, traffic sensor data, large urban police, traffic simulation, traffic forecast feature, bus dynamic routing, traffic monitoring, transportation network data, next destination prediction, urban emergency police, smart mobility, exploratory taxi, traffic simulation technology, traffic forecast, household vehicle choice, citywide traffic, transportation route planning, urban freight transportation, traffic profiling, traffic congestion detection, city taxi, urban area smart, crowd surveillance, Traffic Volume, traffic image, accident prediction, urban police, data mining technique, traffic forecasting, vehicle choice, big geodata analysis, urban road traffic, urban logistics system, bus trajectory data, electric taxi, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, time traffic forecast, traditional taxi, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, taxi, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, intelligent traffic management, LSTM model, destination predictor, urban traffic flow, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, urban traffic, route planning, big geodata, road traffic management, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, traffic management system, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, urban traffic management, traffic management, deep reinforcement, taxi fleet, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, taxicab, principal component analysis, traffic flow, online machine learning, clustering protocol, available clustering protocol, image processing",,,,,,,,,,,,,,,,,,,,
#2,None,13,0.0,1,165,"crowd density estimation, traffic volume prediction, crowd density, traffic volume estimation, traffic flow forecasting, bus route planning, traffic prediction, taxi demand, traffic accident prediction, transportation impact, citywide Traffic Volume, transportation infrastructure development, state transportation planning, transportation mode recognition, exploratory taxi fleet, destination prediction, automobile choice, household automobile choice, traffic flow prediction, transportation planning, road traffic prediction, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, travel demand prediction, transportation data, city taxi service, traffic sensor data, large urban police, traffic simulation, traffic forecast feature, bus dynamic routing, traffic monitoring, transportation network data, next destination prediction, urban emergency police, smart mobility, exploratory taxi, traffic simulation technology, traffic forecast, household vehicle choice, citywide traffic, transportation route planning, urban freight transportation, traffic profiling, traffic congestion detection, city taxi, urban area smart, crowd surveillance, Traffic Volume, traffic image, accident prediction, urban police, data mining technique, traffic forecasting, vehicle choice, big geodata analysis, urban road traffic, urban logistics system, bus trajectory data, electric taxi, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, time traffic forecast, traditional taxi, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, taxi, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, intelligent traffic management, LSTM model, destination predictor, urban traffic flow, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, urban traffic, route planning, big geodata, road traffic management, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, traffic management system, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, urban traffic management, traffic management, deep reinforcement, taxi fleet, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, taxicab, principal component analysis, traffic flow, online machine learning, clustering protocol, available clustering protocol, image processing",,,,,,,,,,,,,,,,,,,,
#2,None,14,0.0,1,165,"crowd density estimation, traffic volume prediction, crowd density, traffic volume estimation, traffic flow forecasting, bus route planning, traffic prediction, taxi demand, traffic accident prediction, transportation impact, citywide Traffic Volume, transportation infrastructure development, state transportation planning, transportation mode recognition, exploratory taxi fleet, destination prediction, automobile choice, household automobile choice, traffic flow prediction, transportation planning, road traffic prediction, transportation data management, transportation efficiency, road traffic image, vehicle choice problem, urban computing, travel demand prediction, transportation data, city taxi service, traffic sensor data, large urban police, traffic simulation, traffic forecast feature, bus dynamic routing, traffic monitoring, transportation network data, next destination prediction, urban emergency police, smart mobility, exploratory taxi, traffic simulation technology, traffic forecast, household vehicle choice, citywide traffic, transportation route planning, urban freight transportation, traffic profiling, traffic congestion detection, city taxi, urban area smart, crowd surveillance, Traffic Volume, traffic image, accident prediction, urban police, data mining technique, traffic forecasting, vehicle choice, big geodata analysis, urban road traffic, urban logistics system, bus trajectory data, electric taxi, vehicle ownership, urban event cause, smart city, bus route, deep learning car, public transportation route, time traffic forecast, traditional taxi, next destination predictor, trajectory clustering, dynamic route planning, extreme learning machine, taxi, human mobility dataset, mobility data, traffic monitoring device, urban police jurisdiction, urban prediction, freight transportation system, learning car detection, passenger service market, intelligent traffic management, LSTM model, destination predictor, urban traffic flow, machine learning method, Deep Model, crowd analysis, unsupervised incremental learning, flow forecasting, trajectory dataset, travel demand model, urban traffic, route planning, big geodata, road traffic management, mobile crowdsensing, urban prediction problem, crowd analysis benchmark, citywide traffic accident, machine learning, city operation system, CNN model, emergency police operation, city operation, urban planning, deep learning model, urban freight, transportation mode information, data mining, transportation congestion, autoencoders, adaptive traffic control, friendly urban freight, vehicle, image descriptor, urban safety, urban event, genetic algorithm, traffic management system, density estimation, mobility dataset, prediction methodology, deep learning method, compressed sensing, traffic speed, household travel survey, different prediction methodology, citywide crowd, deep learning, crowd, crosstown traffic, car, deep sequence, vanilla LSTM model, highway traffic volume, predictive accuracy, event data, urban data collection, LSTM network, event impact, travel survey data, enhanced urban clustering, urban traffic management, traffic management, deep reinforcement, taxi fleet, spatial temporal coverage, urban clustering, flow prediction, vehicle selection algorithm, biased data, heterogeneous datasets, urban data, intelligent transportation system, taxicab, principal component analysis, traffic flow, online machine learning, clustering protocol, available clustering protocol, image processing",,,,,,,,,,,,,,,,,,,,
