No,DocId,key-phrases
1,1,"['hyperspectral image classification', 'hyperspectral imagery', 'hyperspectral image', 'residual network', 'supervised deep learning']"
2,3,"['building detection', 'automated building detection', 'building detection framework', 'building extraction', 'automated building']"
3,19,"['land classification dataset', 'Urban Atlas land', 'deep architecture', 'land classification', 'convolutional network']"
4,37,"['aerial image dataset', 'image classification', 'convolutional neural network', 'convolutional', 'feature learning']"
5,54,"['automatic building detection', 'region descriptor extraction', 'automatic building', 'region descriptor', 'descriptor extraction']"
6,56,"['lidar point cloud', 'urban lidar', 'point cloud labelling', 'urban lidar point', 'urban point cloud']"
7,58,"['urban area extraction', 'unsupervised urban area', 'area extraction', 'SAR image', 'SAR image show']"
8,61,"['point cloud data', 'point cloud', 'Terrestrial laser scanner', 'outdoor urban data', 'laser scanner']"
9,71,"['change detection approach', 'change detection method', 'Change detection', 'traditional change detection', 'new change detection']"
10,81,"['LiDAR data', 'raw LiDAR data', 'LiDAR data set', 'Deep learning', 'Deep learning paradigm']"
11,99,"['climate zone mapping', 'urban climate', 'scene classification', 'climate zone', 'urban environment']"
12,111,"['Road centerline extraction', 'complex road network', 'complete road network', 'complex road', 'road network']"
13,125,"['sensed urban data', 'vehicle extraction', 'single vehicle extraction', 'computer vision', 'vehicle']"
14,137,"['airborne LIDAR data', 'different LIDAR data', 'LIDAR data need', 'binary classification', 'binary classification approach']"
15,144,"['point cloud classification', 'cloud classification', 'Aerial point cloud', 'machine learning algorithm', 'geometric feature']"
16,148,"['semantic segmentation', 'image semantic inpainting', 'semantic segmentation task', 'unlabeled overhead imagery', 'semantic inpainting']"
17,156,"['building size prediction', 'building footprint', 'building size', 'deep learning framework', 'urban area']"
18,171,"['airborne LiDAR datasets', 'LiDAR datasets', 'airborne LiDAR point', 'LiDAR point', 'robust segmentation framework']"
19,186,"['urban land cover', 'urban tree coverage', 'land cover', 'land cover feature', 'urban land']"
20,211,"['shape descriptor', 'robust feature extraction', 'object representation', 'object recognition', 'robust feature']"
21,220,"['aerial building dataset', 'spatial pyramid pooling', 'rural building dataset', 'distinguish building', 'receptive field']"
22,237,"['fake satellite image', 'Satellite image spoofing', 'fake satellite', 'fake datasets', 'image spoofing']"
23,238,"['aerial imagery', 'UAV datasets', 'UAV data', 'basemaps', 'labeled training']"
24,242,"['Accurate urban area', 'urban area information', 'satellite imagery', 'resolution satellite imagery', 'urban structure']"
25,249,"['UAV photogrammetry', 'building extraction accuracy', 'UAV image', 'segmentation', 'urban planning']"
26,256,"['conditional adversarial term', 'digital elevation', 'inexpensive satellite imagery', 'dataset', 'learned uncertainty estimate']"
27,292,"['global feature fusion', 'deep representation', 'remote sensing image', 'deep framework', 'global latent feature']"
28,327,"['satellite image', 'remote sensing', 'textural information', 'geographic information system', 'urban development']"
29,364,"['classification road extraction', 'road extraction algorithm', 'road extraction method', 'Road extraction', 'classification road']"
30,367,"['satellite image segmentation', 'convolution neural network', 'image segmentation', 'aerial image', 'neural network']"
31,378,"['large annotated dataset', 'image classification task', 'training data', 'annotated dataset', 'Spark RDD image']"
32,385,"['fast building detection', 'binary feature classification', 'area detection', 'building contour extraction', 'superpixel segmentation']"
33,389,"['shadow detection', 'Historical Cityscape', 'deep learning scheme', 'Cityscape', 'resolution aerial imagery']"
34,401,"['LiDAR imagery', 'classifier', 'classification method', 'multispectral imagery', 'sensed imagery']"
35,428,"['Automatic building extraction', 'building footprint extraction', 'urban morphology complexity', 'footprint extraction', 'urban morphology']"
36,430,"['roof superstructure classification', 'point cloud segmentation', 'roof superstructure', 'superstructure classification', 'cloud segmentation']"
37,437,"['land cover classification', 'deep learning architecture', 'remote sensing community', 'deep learning technique', 'land use land']"
38,444,"['support vector machine', 'urban planning process', 'support vector', 'edge detection', 'building']"
39,450,"['refined spatial detail', 'Automatic detection', 'learning semantic segmentation', 'building area', 'SVM classifier']"
40,451,"['LiDAR data fusion', 'road detection', 'road edge detection', 'hyperspectral system', 'LiDAR scanner']"
41,454,"['vehicle detection', 'Nowadays vehicle detection', 'deep learning algorithm', 'object detection', 'vehicle tracking']"
42,455,"['classify LiDAR point', 'airborne lidar', 'lidar', 'urban mapping', 'accurate urban mapping']"
43,460,"['unreinforced masonry building', 'masonry building', 'unreinforced masonry', 'common building typology', 'disaster risk assessment']"
44,465,"['damage detection', 'damage detection system', 'digital urban data', 'deep learning model', 'large earthquake occurs']"
45,469,"['bathymetry estimation', 'bathymetry measurement', 'bathymetry', 'Traditional bathymetry measurement', 'ocean depth']"
46,486,"['video semantic segmentation', 'semantic segmentation method', 'semantic segmentation algorithm', 'UAV aerial video', 'image semantic segmentation']"
47,504,"['transfer learning', 'scene image classifier', 'dictionary learning', 'sparse coding', 'remote sensing scene']"
48,505,"['object detection method', 'Many object detection', 'land cover mapping', 'image training', 'artificial neural network']"
49,506,"['fuzzy logic', 'fuzzy logic system', 'explainable semantic segmentation', 'logic system', 'color space']"
50,535,"['urban intelligent navigator', 'intelligent navigator', 'drone', 'urban intelligent', 'stereo vision']"
51,538,"['SAR mapping', 'SAR mapping approach', 'airborne SAR mapping', 'topographic mapping', 'airborne Synthetic Aperture']"
52,568,"['change detection result', 'Automatic semantic segmentation', 'Landsat imagery', 'deforestation monitoring', 'earth observation application']"
53,575,"['image classifier', 'SVM approach', 'road infrastructure extraction', 'SVM procedure', 'object classification']"
