group,score,key-phrase
0,0.69277644,urban regeneration layout
0,0.69131756,AI approach urban
0,0.6740238,intelligence urban model
0,0.66071856,evolutionary urban layout
0,0.6518073,urban layout generation
0,0.65137017,urban regeneration planning
0,0.65099454,urban land dynamic
0,0.6435926,automated urban layout
0,0.64205027,GIS problem solving
0,0.63276184,urban information system
0,0.61193717,Urban land use
0,0.6011528,urban planning management
0,0.58028054,urban planning reform
0,0.5745113,urban planning field
0,0.56456876,urban planning problem
0,0.56225497,urban plan
0,0.562237,urban dynamic process
0,0.54314303,GIS problem
0,0.54258716,urban system
0,0.5419991,land dynamic modeling
0,0.5403172,planning theory
0,0.5395824,land use planning
0,0.5366071,effective urban planning
0,0.5249956,land dynamic modelling
0,0.5248412,urban planning
0,0.52172244,crime forecasting
0,0.5173337,GIS application
0,0.51646817,human planning
0,0.5107681,scenario planning
0,0.49880835,urban environment
0,0.494163,Many GIS application
0,0.49190217,urban development
0,0.49029112,urban growth
0,0.487737,urban design
0,0.48350036,land management
0,0.47637933,different human planning
0,0.47191024,GIS application need
0,0.47041678,urban land
0,0.4672227,crime data
0,0.462744,traditional scenario planning
0,0.45908034,urban planner
0,0.45749953,land dynamic
0,0.45679176,spatial planning
0,0.44401717,urbanization process
0,0.43430898,urban phenomenon
0,0.42990142,planning reform
0,0.4114324,planning problem
0,0.40375775,urban change
0,0.39575714,urban data
0,0.39543438,geospatial data
0,0.3629463,urbanization
0,0.34072527,planning
1,0.6124464,expert system approach
1,0.6062288,expert system
1,0.59070504,intelligent decision support
1,0.5831951,use expert system
1,0.514001,AI technique
1,0.5135431,decision support system
1,0.50838965,intelligent decision making
1,0.5001408,decision support
1,0.49510765,fuzzy expert system
1,0.44739234,use expert
1,0.42796105,artificial intelligence approach
1,0.39651412,expert
1,0.35517007,expertise
1,0.35370278,artificial intelligence
-1,0.6353277,Maharashtra government
-1,0.6076728,Maharashtra government doe
-1,0.5938468,integrated tourism planning
-1,0.5724526,tourism planning
-1,0.5550436,intelligent information system
-1,0.5407135,domain ontology
-1,0.5370842,automatic simulation model
-1,0.52993184,integrated tourism
-1,0.5205275,simulation model generation
-1,0.5191028,ontology
-1,0.5080636,workflow management system
-1,0.5065881,naïve Bayes classifier
-1,0.49747157,cellular automata
-1,0.49522588,semantic web
-1,0.4932828,simulation model
-1,0.48482275,computer simulation
-1,0.48272538,workflow management
-1,0.47828978,artificial neural network
-1,0.45856792,information system
-1,0.44819102,material modeling operation
-1,0.44782358,similarity information maintenance
-1,0.44716364,big data intelligence
-1,0.42189097,central government
-1,0.41502422,development plan
-1,0.40966976,collusion occurrence
-1,0.40523294,neural network
-1,0.38018376,collusion occurrence probability
-1,0.371984,construction sector
-1,0.3313565,KNN algorithm
