0.0_score,0.0_keyword,0.1_score,0.1_keyword,0.3_score,0.3_keyword,0.5_score,0.5_keyword,0.7_score,0.7_keyword,0.9_score,0.9_keyword
0.7531874,urban computing ai,0.7531874,urban computing ai,0.7531874,urban computing ai,0.7531874,urban computing ai,0.7531874,urban computing ai,0.7531874,urban computing ai
0.7531409,intelligence urban design,0.7531409,intelligence urban design,0.70359725,smart city design,0.26941973,why blockchain is,0.10521164,as it represents,-0.07282709,other hand traditional
0.7421851,artificial intelligence urban,0.7421851,artificial intelligence urban,0.7531409,intelligence urban design,0.49731588,smart infrastructure introduces,0.06808411,transaction using hyperledger,0.06808411,transaction using hyperledger
0.7396536,ai in urban,0.7396536,ai in urban,0.7143465,smart urban future,0.3644588,human design process,0.2051128,literature review analysis,0.031384278,reported productivity stress
0.73384005,ai urbanism design,0.7143465,smart urban future,0.72587115,smart city ai,0.4985491,iot ai technology,0.23202537,medical iot sensor,-0.02503441,prematurely fixes solution
0.7285243,in computational urban,0.72587115,smart city ai,0.699615,synthesis smart urban,0.42221326,road traffic safety,0.18080254,collision warning and,0.03469073,include norm based
0.72587115,smart city ai,0.73384005,ai urbanism design,0.697386,intelligent transportation urban,0.70359725,smart city design,0.23011291,visualization for user,0.068178676,opening new domain
0.7143465,smart urban future,0.7285243,in computational urban,0.7285243,in computational urban,0.36351377,data analytics this,0.0778777,upcycling waste corrugated,-0.018340157,of carmona and
0.7112272,city ai and,0.70359725,smart city design,0.69481003,of intelligent city,0.5538651,intelligent transportation system,0.1051544,https github com,0.0792098,hybrid energy storage
0.7099472,smart urban environment,0.699615,synthesis smart urban,0.73384005,ai urbanism design,0.516229,data in planning,0.14080076,house into room,-0.00042095128,among the greatest
0.70561165,smart cities urban,0.7099472,smart urban environment,0.7396536,ai in urban,0.3262423,space ontology built,0.14693582,steer china toward,-0.02328759,form pixelated mosaic
0.7045364,computing ai urbanism,0.697386,intelligent transportation urban,0.7421851,artificial intelligence urban,0.40601403,citizens and spaces,0.0833457,electric microgrid in,0.08234612,chinese government has
0.70359725,smart city design,0.7112272,city ai and,0.70561165,smart cities urban,0.46008945,for predicting pedestrian,0.11526296,delay while utilising,0.18435976,ontology based text
0.699615,synthesis smart urban,0.70561165,smart cities urban,0.6297848,urban planning sensors,0.4137812,study pollution detection,0.07125999,of reduced model,0.044715926,contourlet coefficient applied
0.697386,intelligent transportation urban,0.7045364,computing ai urbanism,0.7099472,smart urban environment,0.54990804,urban environment represents,0.21092334,trains designing backbone,0.013138641,focusing on air
0.69481003,of intelligent city,0.69481003,of intelligent city,0.64103246,complex urban environment,0.35165778,study drone futures,0.14330533,other seven smart,0.13755986,accelerometer and gyroscope
0.6897852,ai into city,0.68821573,intelligent city construction,0.68170804,urban intelligence ui,0.36515778,ais summary report,0.27223283,information of terrorism,0.019449985,soft additive fabrication
0.68821573,intelligent city construction,0.68170804,urban intelligence ui,0.6742622,project smart urban,0.6297848,urban planning sensors,0.11892578,time collection integration,0.14727202,number of lane
0.68529767,city artificial intelligence,0.6838948,urban objects computing,0.68821573,intelligent city construction,0.37275583,deep learning concept,0.09452994,bistro new open,0.1335392,do not learn
0.6838948,urban objects computing,0.6897852,ai into city,0.7112272,city ai and,0.5771878,ai and architectural,0.18386543,deep auto encoder,0.09442977,evolution include flagship
0.68305445,smart city planning,0.68305445,smart city planning,0.64081913,technology for urban,0.33843023,eco driving gamification,0.14401127,predict convergence of,0.11044487,gdp in europe
0.68170804,urban intelligence ui,0.6776937,smart urban infrastructure,0.6838948,urban objects computing,0.38249895,visualizing taxi cab,0.23315711,quality noise pollution,0.12674437,underground pipe to
0.67857397,ai for urban,0.6742622,project smart urban,0.6776937,smart urban infrastructure,0.44229093,mobility data generated,0.084280446,ground temperature around,0.12286038,safer home for
0.6776937,smart urban infrastructure,0.68529767,city artificial intelligence,0.5850222,traffic condition ai,0.38432992,light stop intelligent,0.19119594,define spatial area,0.039663672,loitering person shooting
0.6742622,project smart urban,0.6728054,urban computing and,0.7045364,computing ai urbanism,0.3003423,the ludovico ux,0.1641899,ar vr drone,0.067682594,service each display
0.6738715,of smart city,0.669484,smart city construction,0.68305445,smart city planning,0.7531409,intelligence urban design,0.2182931,the designer to,0.10144469,time nature of
0.6728054,urban computing and,0.6738715,of smart city,0.669484,smart city construction,0.48366055,for ambient intelligence,0.17230694,light control is,0.0888011,fagami facebook apple
0.669484,smart city construction,0.67857397,ai for urban,0.63979435,towards smart city,0.33093745,the scenario analysis,0.18115403,result in path,-0.01422712,neutropenia and fever
0.66766495,of urban computing,0.64103246,complex urban environment,0.62341356,urban planning it,0.3405432,crowdsourcing tackling challenge,0.29077998,same semantic framework,0.1358797,and the smart
0.66401416,on smart city,0.65204656,of urban intelligence,0.61658466,urban data brain,0.29756844,map this article,0.29665482,big data blockchain,0.108345896,intrusion probe dos
