score,keyword
0.7492434,urban land prediction
0.7465788,predicting urbanization city
0.6555344,urban climate assessment
0.69029146,urban sustainability prediction
0.7466123,predicting urban land
0.6992203,forecasting urban area
0.69935906,urban change predicting
0.68940383,analysis predict urban
0.65978,urban data modeling
0.63389456,intelligence urban planning
0.63777363,quantify urban environment
0.67656255,process predicting urban
0.6369931,urban planning multivariate
0.65148497,urban area exerts
0.67669183,urban land study
0.6566532,statistical analysis urbanization
0.6576365,uncertainty urbanization prediction
0.66468996,prediction urban expansion
0.65372384,predicting land use
0.6416489,china predicting urban
0.6802658,method predicting urban
0.6543717,climate developing urban
0.643931,city modelling residential
0.6748801,predict future urbanization
0.6511404,urban data mining
0.61919296,sustainable planning urban
0.6328471,predict urban scale
0.68494236,predicting urban change
0.6513298,tool predicting urbanization
0.65084493,urban land predicted
