doc_id,title,score,similar_cluster_no,similar_doc_id,similar_title
10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective",0.8900,-1,345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China"
,,0.88,4,49,"The spatial characteristics and relationships between landscape pattern and ecosystem service value along an urban-rural gradient in Xi'an city, China"
,,0.83,4,407,"Effects of urbanization on spatiotemporal changes of land cover pattern: A case of Changsha, China"
,,0.76,5,42,Scale- and region-dependence in landscape-PM2.5 correlation: Implications for urban planning
,,0.73,5,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.73,-1,234,Night on South Korea: Unraveling the relationship between urban development patterns and DMSP-OLS night-time lights
,,0.73,4,332,Using satellite image fusion to evaluate the impact of land use changes on ecosystem services and their economic values
,,0.71,5,70,Driving forces analysis of urban expansion based on boosted regression trees and Logistic regression
,,0.71,5,157,How does the urban form-PM2.5 concentration relationship change seasonally in Chinese cities? A comparative analysis between national and urban agglomeration scales
,,0.71,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.70,5,36,Mapping urban form and function at city block level using spatial metrics
,,0.69,5,98,Analysis on spatiotemporal changes of urban thermal landscape pattern in the context of urbanisation: A case study of Xiamen City
,,0.69,4,5,Partial least-squares regression for linking land-cover patterns to soil erosion and sediment yield in watersheds
,,0.68,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.66,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.66,6,91,Daily accessed street greenery and housing price: Measuring economic performance of human-scale streetscapes via new urban data
,,0.66,5,222,Estimating quality of life dimensions from urban spatial pattern metrics
,,0.66,4,488,Estimating Socio-Economic Parameters via Machine Learning Methods Using Luojia1-01 Nighttime Light Remotely Sensed Images at Multiple Scales of China in 2018
,,0.66,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.65,5,145,Impact of community deprivation on urban park access over time: Understanding the relative role of contributors for urban planning
,,0.65,4,17,Land-cover change and environmental impact analysis in the Greater Mankato area of Minnesota using remote sensing and GIS modelling
,,0.64,5,160,"Machine learning-assisted evaluation of land use policies and plans in a rapidly urbanizing district in Chongqing, China"
,,0.64,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.64,4,204,Understanding the spatial distribution of urban forests in China using Sentinel-2 images with Google Earth Engine
,,0.64,4,176,"Landscape Transformations in Rapidly Developing Peri-urban Areas of Accra, Ghana: Results of 30 years"
,,0.63,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.63,5,421,"Evaluation of the environmental impacts of urbanization from the viewpoint of increased skin temperatures: a case study from Istanbul, Turkey"
,,0.63,5,143,Coupling cellular automata with area partitioning and spatiotemporal convolution for dynamic land use change simulation
,,0.63,5,39,Turning down the heat: An enhanced understanding of the relationship between urban vegetation and surface temperature at the city scale
,,0.63,5,257,Investigation of the impact of land-use distribution on pm2.5 in weifang: Seasonal variations
345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China",0.8900,-1,10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective"
,,0.83,4,49,"The spatial characteristics and relationships between landscape pattern and ecosystem service value along an urban-rural gradient in Xi'an city, China"
,,0.78,4,407,"Effects of urbanization on spatiotemporal changes of land cover pattern: A case of Changsha, China"
,,0.77,5,42,Scale- and region-dependence in landscape-PM2.5 correlation: Implications for urban planning
,,0.75,5,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.74,6,27,Measuring daily accessed street greenery: A human-scale approach for informing better urban planning practices
,,0.74,5,222,Estimating quality of life dimensions from urban spatial pattern metrics
,,0.74,6,91,Daily accessed street greenery and housing price: Measuring economic performance of human-scale streetscapes via new urban data
,,0.73,4,332,Using satellite image fusion to evaluate the impact of land use changes on ecosystem services and their economic values
,,0.72,4,521,"Remote sensing and GIS approach for environmental green areas planning using Landsat satellite imagery, Dubai-UAE"
,,0.72,5,145,Impact of community deprivation on urban park access over time: Understanding the relative role of contributors for urban planning
,,0.72,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.71,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.71,5,70,Driving forces analysis of urban expansion based on boosted regression trees and Logistic regression
,,0.71,5,36,Mapping urban form and function at city block level using spatial metrics
,,0.70,4,17,Land-cover change and environmental impact analysis in the Greater Mankato area of Minnesota using remote sensing and GIS modelling
,,0.70,-1,234,Night on South Korea: Unraveling the relationship between urban development patterns and DMSP-OLS night-time lights
,,0.69,5,157,How does the urban form-PM2.5 concentration relationship change seasonally in Chinese cities? A comparative analysis between national and urban agglomeration scales
,,0.69,5,160,"Machine learning-assisted evaluation of land use policies and plans in a rapidly urbanizing district in Chongqing, China"
,,0.69,5,39,Turning down the heat: An enhanced understanding of the relationship between urban vegetation and surface temperature at the city scale
,,0.68,5,98,Analysis on spatiotemporal changes of urban thermal landscape pattern in the context of urbanisation: A case study of Xiamen City
,,0.68,5,340,Do land policies make a difference? A data-driven approach to trace effects on urban form in France and Germany
,,0.68,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.68,5,424,Assessing the cooling efficiency of urban parks using data envelopment analysis and remote sensing data
,,0.68,4,488,Estimating Socio-Economic Parameters via Machine Learning Methods Using Luojia1-01 Nighttime Light Remotely Sensed Images at Multiple Scales of China in 2018
,,0.68,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.67,5,247,Predicting stream water quality under different urban development pattern scenarios with an interpretable machine learning approach
,,0.67,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.67,5,474,Analysis of built-up areas of small polish cities with the use of deep learning and geographically weighted regression
,,0.67,5,329,Modeling fine-scale residential land price distribution: An experimental study using open data and machine learning
472,"Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities",0.8700,4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America
,,0.81,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
