doc_id,title,score,cluster,similar_doc_id,similar_title,top1_occ_cluster,top1_count,top2_occ_cluster,top2_count,top3_occ_cluster,top3_count,is_match
272,Optimization and evaluation of the human fall detection system,0.55,#-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,#7,8,#9,7,#-1,5,False
34,Artificial intelligence technologies for robot assisted urban search and rescue,0.59,#-1,320,Risk management systems must provide automatic decisions according to crisis computable algebras,#3,11,#-1,7,#7,6,False
165,Studying spatial and temporal changes of aridity in Iran,0.60,#5,421,"Evaluation of the environmental impacts of urbanization from the viewpoint of increased skin temperatures: a case study from Istanbul, Turkey",#5,14,#4,12,#-1,3,True
320,Risk management systems must provide automatic decisions according to crisis computable algebras,0.62,#-1,403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,#7,12,#3,10,#-1,7,False
573,"ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",0.63,#5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface,#5,8,#-1,7,#9,5,True
266,Structural health monitoring installation scheme using utility computing model,0.64,#7,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability",#7,7,#0,6,#-1,6,True
552,Intelligence augmentation for urban warfare operation planning using deep reinforcement learning,0.64,#-1,403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,#7,8,#-1,7,#3,6,False
132,A deep learning architecture for semantic address matching,0.65,#-1,384,Towards a deep learning powered query engine for urban planning,#9,11,#6,6,#-1,5,False
187,Kadaster knowledge graph: Beyond the fifth star of open data,0.65,#-1,44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities,#7,8,#8,8,#-1,7,False
338,Shanghai’s regenerated industrial waterfronts: Urban lab for sustainability transitions?,0.65,#7,377,The future city ecosystem,#5,12,#7,10,#-1,3,False
314,Detecting advertising on building façades with computer vision,0.68,#6,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment,#6,14,#4,10,#-1,4,True
363,Predicting the environment of a neighborhood: A use case for France,0.68,#5,340,Do land policies make a difference? A data-driven approach to trace effects on urban form in France and Germany,#6,12,#5,7,#9,4,False
217,Classification of urban scenes from georeferenced images in urban street-view context,0.69,#6,271,Urban land use information retrieval based on scene classification of Google Street View images,#6,11,#4,9,#-1,7,True
384,Towards a deep learning powered query engine for urban planning,0.69,#6,309,Using Random Forests on Real-World City Data for Urban Planning in a Visual Semantic Decision Support System,#-1,6,#3,6,#6,4,False
441,Learning with self-attention for rental market spatial dynamics in the Atlanta metropolitan area,0.69,#6,239,Deep CNN-based methods to evaluate neighborhood-scale urban valuation through street scenes perception,#5,8,#9,6,#6,5,False
