uni_gram,uni_gram_freq,uni_gram_docIDs,bi_gram,bi_gram_freq,bi_gram_docIDs,tri_gram,tri_gram_freq,tri_gram_docIDs
urban,2088,567,machine learning,550,367,machine learning techniques,58,51
learning,778,417,urban planning,366,291,machine learning algorithms,54,43
data,1240,408,remote sensing,113,76,using machine learning,46,42
planning,627,389,urban areas,110,75,artificial intelligence ai,36,35
machine,614,388,land use,193,69,machine learning models,34,30
using,579,333,neural network,104,68,machine learning methods,38,30
results,378,269,random forest,83,63,machine learning algorithm,27,25
study,463,267,artificial intelligence,87,61,support vector machine,28,25
based,409,255,results show,59,59,artificial neural network,32,25
paper,285,236,deep learning,93,56,urban land use,52,22
used,346,236,urban data,83,56,machine learning approach,24,21
use,399,214,big data,102,56,vector machine svm,20,20
model,547,210,learning techniques,66,56,random forest rf,21,19
analysis,351,210,case study,69,56,convolutional neural network,24,18
city,346,198,learning algorithms,62,50,proceedings contain papers,18,18
proposed,295,188,support vector,58,48,machine learning ml,17,17
approach,325,186,urban environment,78,47,support vector machines,22,16
information,308,184,urban environments,69,44,convolutional neural networks,17,15
models,338,179,using machine,46,42,artificial neural networks,17,15
different,285,176,proposed method,53,42,remote sensing images,24,14
areas,321,170,urban planners,43,41,new york city,13,13
method,306,169,urban design,69,39,neural network ann,14,13
methods,265,169,neural networks,44,38,machine learning model,17,13
cities,338,164,land cover,113,37,supervised machine learning,15,13
accuracy,243,158,artificial neural,50,36,remote sensing data,16,12
research,250,157,rights reserved,36,36,street view images,16,12
new,232,155,smart cities,70,35,machine learning method,15,12
area,240,153,intelligence ai,36,35,geographic information system,11,11
spatial,280,150,learning models,39,34,land use change,15,11
development,237,150,urban land,89,34,neural network cnn,11,11
however,153,144,paper presents,33,32,information system gis,10,10
network,240,142,learning algorithm,34,32,land surface temperature,13,10
classification,352,135,learning methods,42,32,urban heat island,12,10
features,255,134,study area,37,32,machine learning approaches,14,10
land,484,132,overall accuracy,37,30,deep convolutional neural,9,9
environment,226,131,convolutional neural,41,30,experimental results show,9,9
management,175,130,built environment,46,30,aggregation index ai,8,8
performance,202,128,smart city,46,29,google street view,12,8
techniques,192,128,urban area,34,29,land cover classification,21,8
design,300,124,urban development,44,28,synthetic aperture radar,8,8
support,168,123,data mining,39,27,surface temperature lst,8,8
system,233,123,learning approach,30,27,social media data,13,8
two,156,119,vector machine,28,25,receiver operating characteristic,8,8
applied,125,114,decision tree,35,25,land use planning,11,8
high,151,113,experimental results,24,24,topics discussed include,8,8
show,121,110,social media,45,24,land cover change,8,7
artificial,163,109,proposed approach,35,24,mean absolute error,8,7
important,129,108,satellite images,31,23,aperture radar sar,7,7
algorithm,156,108,image classification,36,22,root mean square,7,7
applications,147,107,results indicate,22,22,global positioning system,7,7
various,129,107,data analysis,33,22,big data analysis,14,7
provide,127,107,decision making,27,22,heat island uhi,7,7
first,116,106,high resolution,24,21,linear regression models,7,7
time,144,104,learning model,28,21,extreme learning machine,7,7
algorithms,164,104,computer vision,34,21,using deep learning,8,7
systems,159,103,proposed framework,22,21,natural language processing,7,7
framework,185,102,geographic information,23,20,latent dirichlet allocation,8,7
potential,124,101,results showed,20,20,geographically weighted regression,8,6
images,218,100,machine svm,20,20,applying machine learning,6,6
better,111,97,recent years,20,20,urban land cover,11,6
decision,132,96,forest rf,22,20,better urban planning,6,6
human,176,95,classification accuracy,29,19,mean square error,7,6
case,124,95,data sources,21,19,random forest model,7,6
process,132,94,urban expansion,44,18,using artificial intelligence,6,6
sensing,140,94,new york,18,18,remotely sensed data,6,6
well,106,94,street view,34,18,overall classification accuracy,7,6
one,113,94,satellite imagery,22,18,different machine learning,8,6
studies,120,94,remotely sensed,18,18,open access article,6,6
neural,152,91,climate change,29,18,applied machine learning,6,6
social,151,91,urban growth,29,18,machine learning technique,6,6
many,107,90,contain papers,18,18,machine learning classifiers,8,6
understanding,105,90,proceedings contain,18,18,sustainable urban development,6,6
patterns,190,89,data sets,28,17,machine learning classification,7,6
ai,203,89,sensing data,22,17,random forest algorithm,6,6
