,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1.0,0.25944,0.38287,0.48784,0.39242,0.52292,0.29759,0.37925,0.4602,0.32322,0.35486,0.35197,0.25618,0.42902,0.4389,0.46107,0.25844,0.41889,0.34415,0.36458,0.36083,0.3861,0.43464
1,0.25944,1.0,0.72373,0.71546,0.4331,0.37414,0.74429,0.59777,0.61675,0.64459,0.73618,0.47544,0.62793,0.70809,0.47915,0.63849,0.64959,0.58449,0.55715,0.48649,0.65654,0.65805,0.61211
2,0.38287,0.72373,1.0,0.82083,0.37791,0.44399,0.66334,0.59854,0.61381,0.6877,0.71604,0.46791,0.51411,0.7641,0.66568,0.64687,0.56191,0.60623,0.5759,0.50865,0.78531,0.77217,0.65649
3,0.48784,0.71546,0.82083,1.0,0.492,0.52954,0.73111,0.65623,0.68422,0.70337,0.75374,0.55754,0.57538,0.79039,0.67704,0.72724,0.58918,0.6938,0.66381,0.65887,0.75345,0.78762,0.75333
4,0.39242,0.4331,0.37791,0.492,1.0,0.42254,0.50272,0.63504,0.54166,0.39752,0.52205,0.33905,0.51379,0.4609,0.33931,0.51366,0.48713,0.4107,0.39403,0.42433,0.43362,0.42131,0.44964
5,0.52292,0.37414,0.44399,0.52954,0.42254,1.0,0.42002,0.43143,0.46893,0.46998,0.45123,0.42215,0.47542,0.48783,0.4328,0.59168,0.38992,0.42483,0.41283,0.41263,0.47298,0.40938,0.56183
6,0.29759,0.74429,0.66334,0.73111,0.50272,0.42002,1.0,0.62138,0.60658,0.70054,0.80382,0.46616,0.60379,0.65605,0.50374,0.70465,0.75664,0.62096,0.56884,0.56274,0.71028,0.66606,0.62262
7,0.37925,0.59777,0.59854,0.65623,0.63504,0.43143,0.62138,1.0,0.65105,0.56317,0.62808,0.42082,0.58266,0.58284,0.48935,0.58274,0.57205,0.53655,0.46963,0.49676,0.63171,0.62186,0.53757
8,0.4602,0.61675,0.61381,0.68422,0.54166,0.46893,0.60658,0.65105,1.0,0.57453,0.63666,0.44776,0.60445,0.61043,0.4683,0.62996,0.5824,0.51833,0.51358,0.49658,0.62583,0.60331,0.56792
9,0.32322,0.64459,0.6877,0.70337,0.39752,0.46998,0.70054,0.56317,0.57453,1.0,0.68827,0.48789,0.50501,0.63398,0.60807,0.627,0.6199,0.62258,0.53007,0.65371,0.65669,0.67958,0.65661
10,0.35486,0.73618,0.71604,0.75374,0.52205,0.45123,0.80382,0.62808,0.63666,0.68827,1.0,0.57504,0.65644,0.73146,0.53969,0.6869,0.72549,0.66271,0.62327,0.58654,0.73147,0.66154,0.67266
11,0.35197,0.47544,0.46791,0.55754,0.33905,0.42215,0.46616,0.42082,0.44776,0.48789,0.57504,1.0,0.46375,0.59656,0.45048,0.46817,0.41661,0.48013,0.49141,0.50008,0.52478,0.44153,0.51083
12,0.25618,0.62793,0.51411,0.57538,0.51379,0.47542,0.60379,0.58266,0.60445,0.50501,0.65644,0.46375,1.0,0.57138,0.37781,0.62962,0.69011,0.43436,0.43447,0.41165,0.50666,0.45009,0.44294
13,0.42902,0.70809,0.7641,0.79039,0.4609,0.48783,0.65605,0.58284,0.61043,0.63398,0.73146,0.59656,0.57138,1.0,0.70906,0.66619,0.53661,0.58891,0.67449,0.47027,0.72612,0.6677,0.61982
14,0.4389,0.47915,0.66568,0.67704,0.33931,0.4328,0.50374,0.48935,0.4683,0.60807,0.53969,0.45048,0.37781,0.70906,1.0,0.57745,0.4541,0.48729,0.55353,0.4202,0.61684,0.61474,0.51979
15,0.46107,0.63849,0.64687,0.72724,0.51366,0.59168,0.70465,0.58274,0.62996,0.627,0.6869,0.46817,0.62962,0.66619,0.57745,1.0,0.79674,0.56063,0.58622,0.47331,0.61901,0.59572,0.60617
16,0.25844,0.64959,0.56191,0.58918,0.48713,0.38992,0.75664,0.57205,0.5824,0.6199,0.72549,0.41661,0.69011,0.53661,0.4541,0.79674,1.0,0.48299,0.45928,0.44933,0.61209,0.52401,0.49888
17,0.41889,0.58449,0.60623,0.6938,0.4107,0.42483,0.62096,0.53655,0.51833,0.62258,0.66271,0.48013,0.43436,0.58891,0.48729,0.56063,0.48299,1.0,0.49845,0.6902,0.61684,0.61578,0.66391
18,0.34415,0.55715,0.5759,0.66381,0.39403,0.41283,0.56884,0.46963,0.51358,0.53007,0.62327,0.49141,0.43447,0.67449,0.55353,0.58622,0.45928,0.49845,1.0,0.41368,0.61436,0.54594,0.50132
19,0.36458,0.48649,0.50865,0.65887,0.42433,0.41263,0.56274,0.49676,0.49658,0.65371,0.58654,0.50008,0.41165,0.47027,0.4202,0.47331,0.44933,0.6902,0.41368,1.0,0.53026,0.59177,0.70256
20,0.36083,0.65654,0.78531,0.75345,0.43362,0.47298,0.71028,0.63171,0.62583,0.65669,0.73147,0.52478,0.50666,0.72612,0.61684,0.61901,0.61209,0.61684,0.61436,0.53026,1.0,0.80448,0.66919
21,0.3861,0.65805,0.77217,0.78762,0.42131,0.40938,0.66606,0.62186,0.60331,0.67958,0.66154,0.44153,0.45009,0.6677,0.61474,0.59572,0.52401,0.61578,0.54594,0.59177,0.80448,1.0,0.66302
22,0.43464,0.61211,0.65649,0.75333,0.44964,0.56183,0.62262,0.53757,0.56792,0.65661,0.67266,0.51083,0.44294,0.61982,0.51979,0.60617,0.49888,0.66391,0.50132,0.70256,0.66919,0.66302,1.0
