,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
signal,0.2,0.28,0.22,0.26,0.09,0.18,0.29,0.35,0.3,0.14
positioning,0.15,0.24,0.13,0.21,0.15,0.2,0.2,0.3,0.2,0.14
positioning accuracy,0.17,0.24,0.16,0.24,0.14,0.17,0.28,0.42,0.35,0.15
multipath,0.06,0.03,0.08,-0.02,0.04,0.02,-0.08,-0.07,-0.07,0.02
path loss,0.19,0.32,0.14,0.34,0.17,0.21,0.26,0.27,0.25,0.2
localization,0.08,0.1,0.13,0.03,0.17,0.02,0.13,0.06,0.04,0.01
positioning performance,0.2,0.29,0.17,0.39,0.25,0.24,0.35,0.49,0.44,0.18
receiver,0.01,0.07,-0.01,0.1,0.02,0.03,0.07,0.12,0.12,0.02
reception,0.02,0.12,0.05,0.21,0.17,0.19,0.13,0.19,0.21,-0.0
fingerprint,0.15,0.07,0.17,-0.05,0.05,0.02,0.15,0.15,0.07,0.11
