,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
soundscape,0.08,0.0,-0.06,-0.06,0.07,0.2,0.2,-0.12,0.12,0.03
perception,0.26,0.35,0.36,0.17,0.28,0.32,0.35,0.33,0.44,0.21
street,0.22,0.23,0.09,0.17,0.17,0.13,0.01,0.18,0.09,0.17
greenery,0.18,0.1,-0.04,-0.06,-0.05,0.24,0.15,-0.06,0.05,0.12
public space,0.49,0.53,0.38,0.27,0.38,0.35,0.18,0.53,0.3,0.66
street greenery,0.28,0.24,0.04,0.09,0.09,0.26,0.11,0.1,0.1,0.21
human perception,0.38,0.42,0.4,0.21,0.33,0.35,0.33,0.51,0.46,0.34
perceptual,-0.02,0.05,0.24,-0.01,0.25,0.14,0.26,0.03,0.41,0.13
pedestrian,0.3,0.24,0.05,0.1,0.14,0.26,0.1,0.09,0.13,0.22
street view image,0.38,0.44,0.31,0.27,0.34,0.33,0.27,0.45,0.33,0.37
