,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
soundscape,-0.04,-0.03,-0.02,-0.14,-0.11,-0.02,0.01,-0.07,0.07,-0.08
perception,0.24,0.17,0.24,0.07,0.17,0.23,0.25,0.13,0.26,0.23
street,0.19,0.17,0.15,0.1,0.36,0.2,0.07,0.18,0.17,0.14
greenery,0.03,0.06,0.05,-0.01,0.0,-0.06,-0.02,-0.02,0.13,0.1
public space,0.48,0.38,0.49,0.13,0.46,0.45,0.19,0.22,0.36,0.49
street greenery,0.17,0.17,0.14,0.07,0.28,0.12,0.04,0.13,0.21,0.18
human perception,0.33,0.24,0.34,0.2,0.28,0.35,0.37,0.15,0.37,0.32
perceptual,0.02,-0.05,0.08,-0.06,-0.17,0.1,0.11,-0.1,0.04,-0.03
pedestrian,0.25,0.28,0.2,0.02,0.27,0.09,-0.02,0.21,0.17,0.14
street view image,0.37,0.29,0.33,0.09,0.46,0.39,0.23,0.26,0.3,0.37
