,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
landscape pattern,0.37,0.31,0.23,0.41,0.24,0.39,0.25,0.41,0.15,0.26
land cover pattern,0.78,0.88,0.26,0.81,0.16,0.81,0.7,0.34,0.17,0.38
urban greenness space,0.37,0.39,0.24,0.63,0.16,0.46,0.25,0.22,0.22,0.21
landscape,0.33,0.31,0.06,0.43,0.14,0.37,0.18,0.33,0.03,0.13
various land cover,0.79,0.91,0.22,0.84,0.11,0.81,0.72,0.28,0.15,0.42
dust,0.26,0.29,0.12,0.29,0.14,0.25,0.31,0.17,0.08,0.16
sediment yield,0.25,0.23,0.35,0.22,0.09,0.28,0.16,0.12,0.29,0.06
urban greenness,0.21,0.21,0.13,0.52,0.05,0.25,0.11,0.11,0.13,0.0
sediment,0.16,0.12,0.22,0.14,0.06,0.18,0.09,0.11,0.18,-0.02
watershed soil erosion,0.38,0.37,0.17,0.41,0.09,0.43,0.18,0.21,0.11,0.08
