,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
smart urban environment,0.39,0.39,0.27,0.65,0.14,0.42,0.26,0.29,0.21,0.37
urban design problem,0.47,0.44,0.34,0.67,0.22,0.48,0.34,0.4,0.22,0.44
let spatial agent,0.4,0.36,0.37,0.33,0.22,0.44,0.3,0.35,0.3,0.34
game,0.23,0.23,0.16,0.22,0.06,0.22,0.19,0.19,0.12,0.45
interactive machine learning,0.24,0.2,0.38,0.25,0.34,0.29,0.19,0.29,0.26,0.8
urban aesthetic,0.3,0.28,0.21,0.57,0.17,0.32,0.19,0.29,0.14,0.2
aesthetic,0.1,0.06,0.16,0.14,0.21,0.12,0.09,0.25,0.08,0.1
present study aim,0.43,0.4,0.4,0.46,0.15,0.46,0.32,0.35,0.28,0.46
typical spatial behaviour,0.33,0.17,0.45,0.24,0.32,0.31,0.16,0.46,0.37,0.29
structured simple space,0.44,0.4,0.45,0.44,0.25,0.46,0.34,0.36,0.33,0.47
