,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
smart urban environment,0.31,0.43,0.39,0.4,0.47,0.05,0.41,0.39,0.3,0.28
urban design problem,0.4,0.51,0.47,0.49,0.56,0.14,0.47,0.47,0.24,0.39
let spatial agent,0.26,0.39,0.25,0.36,0.4,0.1,0.39,0.3,0.05,0.08
game,0.16,0.25,0.24,0.23,0.3,0.1,0.26,0.2,0.1,0.06
interactive machine learning,0.2,0.36,0.23,0.31,0.41,0.11,0.39,0.21,0.14,0.03
urban aesthetic,0.2,0.25,0.25,0.22,0.25,0.04,0.23,0.24,0.26,0.25
aesthetic,0.0,0.05,0.06,0.01,0.04,0.02,0.08,0.09,0.1,0.05
present study aim,0.26,0.47,0.36,0.4,0.47,0.05,0.5,0.35,0.09,0.13
typical spatial behaviour,0.23,0.33,0.18,0.29,0.34,0.16,0.33,0.23,0.13,0.19
structured simple space,0.25,0.41,0.29,0.35,0.44,0.18,0.42,0.3,0.22,0.12
