,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
smart urban environment,0.38,0.63,0.44,0.44,0.63,0.4,0.16,0.45,0.5,0.42
urban design problem,0.47,0.68,0.44,0.42,0.82,0.43,0.24,0.53,0.51,0.47
let spatial agent,0.27,0.32,0.33,0.29,0.27,0.2,0.18,0.46,0.39,0.4
game,0.23,0.21,0.28,0.23,0.22,0.07,0.02,0.29,0.24,0.3
interactive machine learning,0.27,0.34,0.5,0.45,0.43,0.16,0.17,0.54,0.39,0.66
urban aesthetic,0.31,0.6,0.28,0.3,0.74,0.29,0.19,0.29,0.34,0.25
aesthetic,0.12,0.23,0.16,0.17,0.46,-0.0,0.19,0.15,0.21,0.18
present study aim,0.31,0.51,0.29,0.27,0.52,0.28,0.3,0.58,0.65,0.51
typical spatial behaviour,0.27,0.44,0.37,0.37,0.42,0.13,0.31,0.41,0.4,0.37
structured simple space,0.29,0.44,0.46,0.41,0.53,0.28,0.25,0.55,0.45,0.5
