,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
positive deviance,0.16,0.04,0.14,0.18,0.1,0.13,0.02,0.1,0.07,0.08
urban planning firm,0.08,0.04,0.1,0.15,0.39,0.3,0.54,0.03,0.12,0.17
personality,0.13,0.09,0.03,0.16,0.14,0.13,0.13,0.02,0.15,0.16
social media data,0.21,0.13,0.15,0.24,0.38,0.3,0.36,0.05,0.21,0.2
tweet,-0.04,-0.14,0.0,-0.06,-0.08,-0.11,-0.18,-0.02,-0.14,-0.07
player,0.06,-0.03,-0.02,0.12,0.13,0.15,0.2,-0.01,-0.01,0.03
input excerpt must,0.22,0.12,0.24,0.22,0.27,0.26,0.18,0.12,0.19,0.19
six possible personality,0.23,0.13,0.16,0.31,0.3,0.36,0.34,0.04,0.22,0.24
possible personality class,0.2,0.14,0.1,0.3,0.26,0.35,0.33,0.02,0.26,0.3
media data analysis,0.24,0.2,0.19,0.3,0.38,0.32,0.3,0.07,0.24,0.18
