,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
land cover classification,0.33,0.16,0.54,0.32,0.32,0.28,0.33,0.27,0.31,0.33
land cover,0.37,0.13,0.53,0.33,0.37,0.32,0.35,0.32,0.33,0.33
data weighting method,0.2,0.21,0.39,0.37,0.15,0.31,0.15,0.2,0.26,0.36
urban land cover,0.49,0.24,0.57,0.34,0.48,0.35,0.47,0.37,0.37,0.38
optical,0.16,0.14,0.24,0.35,0.13,0.04,0.08,0.1,0.2,0.35
land cover mapping,0.4,0.19,0.58,0.43,0.36,0.35,0.38,0.31,0.35,0.4
cover,0.22,0.09,0.38,0.26,0.24,0.22,0.19,0.22,0.29,0.28
image classification,0.23,0.19,0.32,0.26,0.22,0.21,0.2,0.23,0.26,0.29
data weighting,0.17,0.15,0.3,0.3,0.1,0.28,0.14,0.12,0.18,0.29
eight machine learning,0.33,0.29,0.43,0.46,0.41,0.35,0.22,0.39,0.49,0.52
