,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
topic modeling,0.2,0.3,0.32,0.45,0.05,0.16,0.29,0.33,0.39,0.49
retail store placement,0.1,0.42,0.1,0.39,-0.11,0.18,0.16,0.27,0.26,0.39
store placement problem,0.14,0.43,0.19,0.46,-0.12,0.28,0.32,0.43,0.45,0.45
syntactic,0.11,-0.07,0.1,0.06,0.13,-0.12,0.13,0.02,0.1,0.12
store,0.02,0.26,0.08,0.26,-0.03,0.17,0.12,0.22,0.18,0.23
leisure,0.04,0.29,0.02,0.21,-0.02,0.05,0.04,0.04,0.16,0.14
heterogeneous urban data,0.18,0.54,0.18,0.64,-0.08,0.11,0.32,0.27,0.34,0.65
store placement,0.06,0.32,0.1,0.33,-0.08,0.2,0.19,0.28,0.3,0.34
business,0.11,0.55,0.21,0.52,-0.15,0.2,0.25,0.37,0.42,0.48
functional region,0.15,0.35,0.21,0.33,-0.15,0.1,0.28,0.4,0.4,0.34
