,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
traffic,-0.13,0.12,0.34,0.06,0.35,0.3,0.21,-0.07,0.53,0.32
traffic light control,-0.14,0.28,0.35,0.03,0.49,0.29,0.38,0.0,0.36,0.49
road traffic safety,-0.2,0.12,0.4,0.02,0.43,0.32,0.27,-0.08,0.51,0.4
traffic control,-0.16,0.21,0.3,0.02,0.46,0.24,0.32,-0.03,0.38,0.38
traffic control system,-0.13,0.26,0.29,-0.0,0.52,0.22,0.38,0.03,0.32,0.43
routing,0.03,-0.01,0.11,-0.02,0.03,0.07,-0.05,0.05,0.16,0.13
light control,-0.12,0.32,0.28,-0.0,0.47,0.21,0.41,0.05,0.15,0.49
traffic safety,-0.17,0.16,0.27,0.03,0.44,0.23,0.31,-0.04,0.46,0.32
pedestrian,0.03,0.06,0.32,0.25,0.21,0.41,0.06,0.03,1.0,0.22
congestion,0.0,0.16,0.16,0.12,0.2,0.21,0.12,0.06,0.38,0.16
