,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
smart city ecosystem,0.38,-0.21,0.14,0.38,0.49,0.58,0.46,0.48,0.37,0.28
innovation,0.26,0.02,0.15,0.31,0.31,0.23,0.26,0.38,0.25,0.32
application area,0.44,-0.24,0.3,0.51,0.53,0.58,0.65,0.52,0.41,0.38
artificial intelligence technology,0.27,-0.21,0.27,0.4,0.44,0.37,0.41,0.38,0.4,0.3
smart city initiative,0.32,-0.24,0.11,0.47,0.45,0.66,0.46,0.44,0.38,0.34
sharing economy,0.15,-0.16,0.15,0.45,0.38,0.37,0.35,0.32,0.36,0.34
city ecosystem,0.38,-0.15,0.13,0.34,0.47,0.58,0.45,0.45,0.32,0.22
increasingly turning toward,0.2,-0.19,0.13,0.46,0.35,0.39,0.41,0.38,0.36,0.34
turning toward specialized,0.19,-0.18,0.2,0.4,0.39,0.42,0.44,0.34,0.37,0.28
toward specialized technology,0.28,-0.17,0.23,0.42,0.44,0.42,0.46,0.4,0.4,0.31
