,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
smart infrastructure system,0.71,0.59,0.32,0.28,0.49,0.34,0.11,0.43,0.32,0.5
smart infrastructure,0.72,0.52,0.23,0.19,0.4,0.34,0.11,0.33,0.24,0.43
infrastructure system,0.56,0.57,0.28,0.23,0.41,0.33,0.1,0.45,0.3,0.44
outbreak,0.06,0.16,0.03,0.1,0.01,-0.01,-0.11,0.21,0.05,0.01
smart city network,0.66,0.54,0.32,0.35,0.47,0.33,0.06,0.41,0.21,0.4
data sharing,0.35,0.37,0.39,0.19,0.41,0.15,0.04,0.47,0.35,0.48
governance,0.35,0.34,0.09,0.01,0.17,0.28,0.18,0.36,0.25,0.21
smart,0.64,0.35,0.23,0.24,0.38,0.18,0.07,0.19,0.2,0.37
urban governance,0.71,0.69,0.16,0.08,0.25,0.68,0.25,0.45,0.31,0.34
air quality,0.43,0.46,0.33,0.27,0.32,0.33,0.22,0.43,0.26,0.41
