,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
smart infrastructure system,0.39,0.51,0.38,0.36,0.39,0.39,0.39,0.4,0.31,0.46
smart infrastructure,0.33,0.47,0.33,0.32,0.4,0.32,0.36,0.32,0.22,0.41
infrastructure system,0.4,0.53,0.38,0.31,0.39,0.39,0.4,0.39,0.34,0.46
outbreak,-0.0,0.14,0.2,0.13,0.06,0.15,0.11,0.15,0.18,0.15
smart city network,0.33,0.48,0.37,0.38,0.41,0.34,0.32,0.45,0.29,0.41
data sharing,0.3,0.28,0.21,0.24,0.22,0.33,0.23,0.3,0.34,0.32
governance,0.24,0.27,0.16,0.1,0.3,0.15,0.19,0.14,0.21,0.17
smart,0.18,0.23,0.18,0.28,0.2,0.2,0.17,0.22,0.11,0.22
urban governance,0.51,0.65,0.25,0.2,0.68,0.28,0.31,0.27,0.26,0.4
air quality,0.23,0.37,0.32,0.5,0.31,0.41,0.22,0.5,0.32,0.41
