,landscape pattern,land cover pattern,urban greenness space,landscape,various land cover,dust,sediment yield,urban greenness,sediment,watershed soil erosion
person detection method,0.26,0.39,0.19,0.08,0.33,0.23,0.24,0.04,0.11,0.2
freeway,0.04,0.11,0.17,0.05,0.1,0.07,0.04,0.17,0.04,0.04
task scheduling algorithm,0.18,0.21,0.15,0.02,0.17,-0.01,0.11,0.03,0.08,0.11
sustainable smart city,0.28,0.36,0.38,0.28,0.39,0.11,0.13,0.32,0.01,0.17
urban data management,0.38,0.46,0.57,0.31,0.48,0.17,0.28,0.45,0.21,0.34
smart city application,0.25,0.39,0.33,0.24,0.44,0.16,0.08,0.2,0.0,0.08
urban freeway corridor,0.24,0.31,0.53,0.26,0.31,0.14,0.1,0.5,0.1,0.2
anomaly detection,0.2,0.19,0.12,0.05,0.09,0.2,0.15,0.03,0.09,0.18
person detection,0.2,0.35,0.16,0.05,0.31,0.22,0.15,0.0,0.04,0.15
freeway corridor,0.11,0.2,0.28,0.11,0.19,0.1,0.07,0.22,0.06,0.09
