,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
person detection method,0.23,0.27,0.35,0.2,0.38,0.18,0.22,0.48,0.24,0.48
freeway,0.16,0.44,0.1,0.07,-0.01,0.22,0.34,0.18,0.05,0.02
task scheduling algorithm,0.1,0.24,0.21,0.19,0.22,0.07,0.11,0.37,0.17,0.33
sustainable smart city,0.36,0.31,0.52,0.28,0.37,0.21,0.33,0.47,0.09,0.4
urban data management,0.29,0.42,0.64,0.3,0.43,0.14,0.32,0.53,0.13,0.67
smart city application,0.4,0.36,0.44,0.23,0.33,0.18,0.33,0.48,0.03,0.43
urban freeway corridor,0.24,0.48,0.46,0.24,0.2,0.26,0.49,0.36,0.06,0.21
anomaly detection,0.04,0.17,0.17,0.16,0.21,0.04,0.16,0.26,0.27,0.29
person detection,0.24,0.28,0.32,0.18,0.36,0.18,0.19,0.41,0.19,0.43
freeway corridor,0.2,0.45,0.22,0.18,0.09,0.23,0.47,0.27,0.04,0.11
