,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
person detection method,0.37,0.4,0.13,0.39,0.01,0.48,0.22,0.19,0.16,0.25
freeway,0.14,0.08,0.12,0.0,-0.05,0.11,0.06,0.06,0.0,0.19
task scheduling algorithm,0.16,0.17,0.08,0.31,0.15,0.25,0.07,0.21,0.16,0.12
sustainable smart city,0.43,0.27,0.2,0.36,-0.02,0.52,0.06,0.07,0.11,0.6
urban data management,0.51,0.3,0.28,0.54,-0.07,0.55,0.08,0.2,0.11,0.7
smart city application,0.39,0.2,0.2,0.37,0.03,0.54,0.03,0.17,0.19,0.46
urban freeway corridor,0.32,0.15,0.2,0.17,-0.05,0.31,0.1,0.07,0.04,0.55
anomaly detection,0.12,0.31,0.1,0.3,0.01,0.19,0.16,0.2,0.13,0.08
person detection,0.31,0.34,0.16,0.3,-0.05,0.41,0.21,0.11,0.12,0.21
freeway corridor,0.22,0.11,0.13,0.06,-0.05,0.18,0.07,0.05,0.01,0.3
