,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
urban planning reform,0.47,0.73,0.59,0.7,0.69,0.31,0.64,0.68,0.45,0.64
expert system,0.43,0.39,0.36,0.45,0.3,0.38,0.38,0.38,0.22,0.35
urban information system,0.59,0.68,0.63,0.71,0.58,0.49,0.67,0.65,0.37,0.64
heterogeneous expert knowledge,0.29,0.34,0.32,0.33,0.23,0.36,0.35,0.35,0.15,0.37
democratic urban land,0.59,0.82,0.56,0.81,0.66,0.28,0.64,0.64,0.43,0.56
expert system approach,0.49,0.45,0.42,0.5,0.33,0.43,0.44,0.42,0.24,0.41
intelligent decision making,0.48,0.44,0.29,0.45,0.2,0.26,0.31,0.28,0.13,0.29
mathematical programming,0.29,0.18,0.27,0.19,0.12,0.33,0.33,0.18,0.08,0.36
expert,0.21,0.21,0.17,0.23,0.17,0.14,0.2,0.24,0.11,0.18
urban land dynamic,0.66,0.87,0.67,0.87,0.68,0.4,0.74,0.67,0.41,0.68
