,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
urban planning reform,0.27,0.28,0.35,-0.06,0.15,0.2,0.53,0.21,0.43,0.4
expert system,0.3,0.23,0.4,-0.04,0.15,0.04,0.39,0.23,0.37,0.36
urban information system,0.33,0.39,0.5,0.03,0.28,0.23,0.71,0.35,0.46,0.47
heterogeneous expert knowledge,0.43,0.16,0.3,0.11,0.06,0.11,0.61,0.18,0.28,0.32
democratic urban land,0.15,0.22,0.3,-0.07,0.17,0.15,0.46,0.16,0.35,0.38
expert system approach,0.39,0.28,0.47,0.0,0.17,0.06,0.41,0.28,0.42,0.41
intelligent decision making,0.36,0.26,0.4,0.02,0.18,0.12,0.31,0.27,0.42,0.28
mathematical programming,0.52,0.23,0.35,0.27,0.12,0.13,0.34,0.25,0.28,0.31
expert,0.25,0.11,0.22,-0.09,0.06,0.02,0.17,0.11,0.25,0.17
urban land dynamic,0.28,0.3,0.39,0.01,0.2,0.24,0.64,0.26,0.39,0.46
