,person detection method,freeway,task scheduling algorithm,sustainable smart city,urban data management,smart city application,urban freeway corridor,anomaly detection,person detection,freeway corridor
road traffic noise,0.32,0.48,0.25,0.35,0.41,0.36,0.55,0.21,0.32,0.5
urban form indicator,0.38,0.12,0.2,0.48,0.67,0.45,0.46,0.17,0.28,0.22
interface network,0.36,0.16,0.39,0.34,0.51,0.48,0.31,0.19,0.31,0.24
interface network connectivity,0.33,0.16,0.37,0.35,0.5,0.44,0.33,0.19,0.28,0.27
classical urban design,0.32,0.17,0.23,0.48,0.59,0.48,0.47,0.11,0.2,0.22
housing estate,0.11,0.18,0.03,0.37,0.47,0.29,0.37,-0.05,0.12,0.23
greenway suitability analysis,0.26,0.11,0.3,0.15,0.35,0.18,0.19,0.16,0.18,0.18
using network analysis,0.6,0.12,0.43,0.42,0.63,0.54,0.27,0.33,0.47,0.18
economic assessment using,0.49,0.02,0.31,0.51,0.62,0.47,0.21,0.24,0.4,0.1
assessment using machine,0.64,0.01,0.38,0.4,0.51,0.52,0.14,0.32,0.52,0.07
