,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
road traffic noise,1.0,0.34,0.32,0.34,0.38,0.24,0.15,0.36,0.3,0.32
urban form indicator,0.34,1.0,0.38,0.37,0.62,0.39,0.22,0.46,0.54,0.44
interface network,0.32,0.38,1.0,0.94,0.37,0.05,0.23,0.69,0.32,0.39
interface network connectivity,0.34,0.37,0.94,1.0,0.33,0.05,0.25,0.62,0.29,0.33
classical urban design,0.38,0.62,0.37,0.33,1.0,0.33,0.23,0.45,0.38,0.37
housing estate,0.24,0.39,0.05,0.05,0.33,1.0,0.17,0.19,0.36,0.21
greenway suitability analysis,0.15,0.22,0.23,0.25,0.23,0.17,1.0,0.44,0.37,0.29
using network analysis,0.36,0.46,0.69,0.62,0.45,0.19,0.44,1.0,0.67,0.7
economic assessment using,0.3,0.54,0.32,0.29,0.38,0.36,0.37,0.67,1.0,0.76
assessment using machine,0.32,0.44,0.39,0.33,0.37,0.21,0.29,0.7,0.76,1.0
