,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
temperature,0.21,0.17,0.23,0.1,0.18,0.03,0.22,0.18,0.12,0.27
thermal,0.12,0.08,0.15,0.08,0.11,0.09,0.19,0.09,0.02,0.31
cooling,0.14,0.16,0.2,0.01,0.11,0.07,0.22,0.11,0.13,0.2
surface temperature,0.25,0.18,0.28,0.11,0.17,0.04,0.29,0.2,0.14,0.35
energy,0.21,0.24,0.25,-0.03,0.19,0.13,0.27,0.15,0.31,0.3
land surface temperature,0.23,0.23,0.35,0.06,0.22,0.09,0.35,0.25,0.23,0.39
urban heat island,0.18,0.2,0.29,-0.01,0.23,0.18,0.47,0.16,0.27,0.36
ventilation,-0.03,0.11,0.19,0.05,0.1,-0.02,0.1,0.15,-0.03,0.07
thermal comfort,0.12,0.16,0.22,0.04,0.19,0.2,0.23,0.16,0.1,0.34
comfort,0.07,0.18,0.2,-0.03,0.2,0.24,0.16,0.18,0.16,0.2
