,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
aerial,0.16,0.2,0.22,0.28,0.14,0.16,0.08,0.26,0.1,0.16
point cloud,0.21,0.27,0.38,0.34,0.14,0.34,0.21,0.41,0.38,0.33
detection,0.23,0.08,0.14,0.14,0.1,0.07,0.06,0.13,0.18,0.07
deep,0.17,0.28,0.25,0.21,0.18,0.25,0.21,0.23,0.2,0.24
cloud,0.2,0.12,0.23,0.13,0.12,0.12,0.07,0.16,0.24,0.15
object,0.34,0.2,0.25,0.22,0.12,0.19,0.18,0.27,0.36,0.21
building detection,0.28,0.33,0.61,0.29,0.25,0.27,0.29,0.37,0.31,0.37
segmentation,0.25,-0.07,-0.08,-0.09,0.1,-0.1,0.0,-0.07,0.05,-0.1
semantic segmentation,0.34,-0.05,-0.04,-0.09,0.13,-0.1,0.01,-0.06,0.03,-0.1
airborne,0.08,0.08,0.08,0.31,0.07,0.07,0.02,0.27,0.08,0.09
