,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
aerial,0.19,0.24,0.07,0.07,-0.0,0.1,0.22,0.2,0.21,0.16
point cloud,0.21,0.23,0.17,0.17,-0.18,-0.06,0.36,0.36,0.45,0.44
detection,0.15,0.19,0.24,0.01,0.05,0.16,0.14,0.23,0.21,0.14
deep,0.14,0.16,0.16,0.1,-0.02,-0.05,0.17,0.32,0.28,0.25
cloud,0.17,0.11,0.05,0.08,-0.04,-0.12,0.17,0.2,0.25,0.27
object,0.17,0.3,0.15,0.14,-0.12,0.07,0.17,0.27,0.36,0.39
building detection,0.21,0.4,0.27,0.2,-0.07,0.05,0.36,0.4,0.38,0.27
segmentation,-0.06,-0.03,-0.07,-0.12,0.23,0.16,-0.08,0.04,-0.05,0.08
semantic segmentation,-0.05,0.04,-0.06,-0.02,0.22,0.15,-0.06,0.08,0.06,0.27
airborne,0.19,0.14,0.04,-0.03,0.05,0.1,0.16,0.12,0.09,0.09
