,land cover,nile delta,impervious surface,green area,coastal area,cover change,growth rate,greater mankato,upper awash,awash basin
carbon emission,0.16,0.0,0.17,0.2,0.13,0.26,0.32,0.15,0.14,0.09
air quality,0.39,0.18,0.28,0.34,0.33,0.42,0.33,0.15,0.17,0.09
climate change,0.34,0.09,0.22,0.33,0.31,0.69,0.39,0.17,0.16,0.19
upscaling urban,0.12,0.01,0.13,0.19,0.27,0.12,0.17,0.12,0.09,0.12
climate solution,0.29,0.12,0.26,0.3,0.3,0.5,0.34,0.18,0.16,0.23
change mitigation,0.31,0.08,0.15,0.24,0.23,0.6,0.32,0.16,0.04,0.11
air pollutant,0.21,0.16,0.26,0.2,0.24,0.22,0.17,0.12,0.13,0.1
energy resource,0.28,0.16,0.08,0.29,0.26,0.32,0.35,0.24,0.15,0.23
urban climate,0.38,0.12,0.25,0.44,0.48,0.49,0.38,0.21,0.21,0.27
data science,0.28,0.08,0.12,0.27,0.24,0.37,0.41,0.16,0.11,0.08
