,signal,positioning,positioning accuracy,multipath,path loss,localization,positioning performance,receiver,reception,fingerprint
crash,0.16,0.03,0.08,-0.03,0.31,-0.09,0.16,0.05,0.05,-0.01
vehicle ownership,0.22,0.19,0.24,-0.16,0.31,0.04,0.31,0.08,0.07,0.08
crime,0.14,-0.07,0.03,-0.09,0.19,0.01,0.06,-0.03,0.04,0.18
ownership,0.14,0.01,0.08,-0.17,0.21,0.05,0.1,0.04,0.02,0.03
waterlogging,-0.09,-0.02,-0.02,0.22,-0.05,0.12,-0.09,-0.17,-0.07,0.03
opportunistic,0.06,0.16,0.12,0.04,0.03,0.05,0.06,0.07,0.06,0.03
public transportation route,0.25,0.15,0.14,-0.12,0.42,-0.06,0.29,0.09,0.15,-0.0
scale urban problem,0.22,0.09,0.18,-0.07,0.34,0.12,0.26,0.09,0.12,0.06
real world data,0.34,0.22,0.3,-0.1,0.41,0.02,0.44,0.13,0.11,0.13
game abstraction framework,0.17,0.17,0.25,-0.09,0.26,0.17,0.32,0.07,0.12,0.1
