,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
crash,0.12,0.25,0.23,0.05,0.16,0.24,0.14,0.0,0.17,0.14
vehicle ownership,0.38,0.32,0.46,0.23,0.43,0.37,0.34,0.18,0.09,0.49
crime,0.37,0.31,0.38,0.22,0.3,0.33,0.27,0.11,0.25,0.28
ownership,0.33,0.2,0.34,0.2,0.39,0.25,0.24,0.19,0.02,0.42
waterlogging,-0.12,-0.16,-0.15,-0.09,-0.1,-0.17,-0.25,-0.07,-0.15,-0.02
opportunistic,0.0,0.04,0.03,0.12,-0.0,0.12,0.17,0.06,0.01,0.01
public transportation route,0.51,0.45,0.59,0.22,0.45,0.48,0.41,0.14,0.22,0.43
scale urban problem,0.7,0.46,0.66,0.37,0.63,0.53,0.39,0.26,0.28,0.7
real world data,0.42,0.47,0.62,0.41,0.4,0.5,0.5,0.36,0.29,0.49
game abstraction framework,0.31,0.35,0.41,0.34,0.26,0.47,0.4,0.51,0.1,0.37
